OID|ACCT_TYPE|NAME|TOTAL|PAST_DUE_90|PAST_DUE_180|LIQUIDATED|RPT_ID
69228|102|All Other Accounts|||||532159
69230|102|All Other Accounts|6612||||532175
69236|102|All Other Accounts|0|0|0|0|532181
69242|102|All Other Accounts|||||532201
69243|102|All Other Accounts|||||532277
69244|102|All Other Accounts|5628||||532305
69245|102|All Other Accounts|||||532306
69246|101|Goyette and Associates, Inc.|59295|0|59295||532307
69247|101|Hamilton and Company, LLP|15218|0|14118||532307
69248|101|John B. LaRocco|20625|20625|0||532307
69249|101|Kemper CPA Group|20180|6579|12971||532307
69250|101|Talbot Law Group|149197|36390|112807||532307
69251|102|All Other Accounts|48202|9855|3776||532307
69252|101|CHECKOFF FEES DUE INTERNATIONAL|112437||||532310
69253|102|All Other Accounts|||||532310
69254|101|PYLE, ROME, EHRENBERG, PC|8835|6943|||532350
69255|102|All Other Accounts|7984||||532350
69268|102|All Other Accounts|0|0|0|0|532367
69269|102|All Other Accounts|456||||532368
69270|101|Royal Bank Visa|8310||||532373
69271|102|All Other Accounts|12346||||532373
69272|102|All Other Accounts|||||532403
69273|102|All Other Accounts|102169|0|0|0|532404
69275|101|Accounts Payable |5000|0|0|0|532413
69276|102|All Other Accounts|||||532413
69278|101|U.A. PER CAPITA TAXES|28170|0|0|0|532451
69279|101|U.A. OFFICER'S PENSION FUND|12322|0|0|0|532451
69280|101|PLUMBERS & PIPEFITTERS NAT'L. PENSION FUND|3512|0|0|0|532451
69281|101|LOCAL 123 PENSION & H & W FUNDS|14481|0|0|0|532451
69282|101|U.A. VISA CREDIT CARD - PNC BANK|6344|0|0|0|532451
69283|101|OTHER PER CAPITA TAXES - LOCAL BLDG TRADES|9559|0|0|0|532451
69284|101|VARIOUS OTHER VENDORS|3494|0|0|0|532451
69285|102|All Other Accounts|||||532451
69286|101|ACCRUED EXPENSES PAYROLL TAXES PAYABLE|82763||||532454
69287|102|All Other Accounts|||||532454
69291|102|All Other Accounts|2376706||||532464
69292|101|NONE|0|0|0|0|532466
69293|102|All Other Accounts|||||532466
69294|101|NONE|0|0|0|0|532472
69295|102|All Other Accounts|0|0|0|0|532472
69300|102|All Other Accounts|||||532476
69303|101|Bank of America VISA|62456||||532505
69304|102|All Other Accounts|||||532505
69319|101|Employer Payroll Taxes  Paid in July, 2013|285||||532614
69320|102|All Other Accounts|||||532614
69321|102|All Other Accounts|0|0|0|0|532637
69329|102|All Other Accounts|||||532669
69331|102|All Other Accounts|||||532716
69332|102|All Other Accounts|||||532720
69333|102|All Other Accounts|||||532743
69334|102|All Other Accounts|||||532756
69337|102|All Other Accounts|||||532837
69343|101|Out of Balance Condition|1||1||532907
69344|101|Arlean King Estate (net payroll check; check #1674|2046||2046||532907
69345|101|Arlean King Estate (allowance check; check #1673)|725||725||532907
69346|102|All Other Accounts|||||532907
69352|101|NYS Employee Organization Leave|730156|0|0|0|532923
69353|101|Bank of America: Purchase Card|418268|0|0|0|532923
69354|101|Catamaran Inc.|27829|0|0|0|532923
69355|101|Fort Orange Press|31284|0|0|0|532923
69356|101|JCB Specialties Inc|22675|0|0|0|532923
69357|101|PEF Membership Benefits|28993|0|0|0|532923
69358|101|PEF Travel|6884|0|0|0|532923
69359|101|Roswell Park Cancer Instit|7320|0|0|0|532923
69360|101|Union Insurance Group|31724|0|0|0|532923
69361|101|Xerox Corporation|14845|0|0|0|532923
69362|102|All Other Accounts|483779|0|0|0|532923
69366|102|All Other Accounts|||||532984
69370|102|All Other Accounts|0|0|0|0|533029
69372|102|All Other Accounts|||||533039
69376|102|All Other Accounts|0|0|0|0|533081
69379|101|UBCJ PER CAPITA (NOT AUDITED)|11332||||533096
69380|102|All Other Accounts|||||533096
69384|101|NONE|0|0|0|0|533131
69385|102|All Other Accounts|0|0|0|0|533131
69386|102|All Other Accounts|||||533181
69387|102|All Other Accounts|0|0|0||533200
69388|102|All Other Accounts|53696|0|0|0|533261
69389|102|All Other Accounts|||||533302
69390|102|All Other Accounts|||||533305
69391|102|All Other Accounts|0|0|0|0|533322
69395|102|All Other Accounts|366||||533340
69396|102|All Other Accounts|0||||533409
69399|101|NONE|0|0|0|0|533421
69400|102|All Other Accounts|2770|0|0|0|533421
69401|102|All Other Accounts|||||533439
69402|102|All Other Accounts|||||533452
69403|101|OP&CMLUO&E Pension Fund|33038||||533461
69404|102|All Other Accounts|4756||||533461
69405|102|All Other Accounts|21820|0|0|0|533464
69406|101|International Per Capita Liability|15647||||533472
69407|102|All Other Accounts|1585||||533472
69408|101|Accounts Payable|35034||||533474
69409|102|All Other Accounts|||||533474
69410|102|All Other Accounts|485||||533477
69411|102|All Other Accounts|||||533479
69412|101|GRANT PAYABLE-BAILEY ELECTRIC|26406|26406|0|0|533480
69413|101|GRANT PAYABLE-ARC ELECTRIC|8612|8612|0|0|533480
69414|101|GRANT PAYABLE-COCHRAN INC|39644|39644|0|0|533480
69415|101|GRANT PAYABLE-I90 SNOWSHED|60000|60000|0|0|533480
69416|101|GRANT PAYABLE-HALLMARK HEALTH CARE|12325|12325|0|0|533480
69417|101|GRANT PAYABLE-CANOE RIDGE, PATTERSON|7200|7200|0|0|533480
69418|101|GRANT PAYABLE-BOISE CASCADE W3 FELT WASH|10800|0|0|0|533480
69419|102|All Other Accounts|420830|6072|0|0|533480
69423|101|American Federation of Musicians - Strike Fund|7275||||533499
69424|101|Cherion|43555||43555||533499
69425|101|Cohen Weiss & Simon LLP|22932||22932||533499
69426|101|Kevin J. Mirarchi, CPA|12242||12242||533499
69427|101|Martin & Bonnett, PLLC|16063||16063||533499
69428|101|Meranze, Katz, Gaudioso & Newlin|99006|23290|67238||533499
69429|102|All Other Accounts|12||||533499
69461|102|All Other Accounts|10790063||||533568
69462|102|All Other Accounts|0|0|0|0|533569
69463|102|All Other Accounts|||||533586
69466|102|All Other Accounts|0|0|0|0|533604
69467|102|All Other Accounts|||||533620
69468|101|SEIU LOCAL 1|65246||||533648
69469|102|All Other Accounts|||||533648
69488|101|RACHAEL'S|49||||533690
69470|101|ALISON OCMAND|1032||||533690
69471|101|BARBARA SUPINKA|1845||||533690
69472|101|JARED FREEDMAN|62||||533690
69473|101|JAY ANDREWS|5122||||533690
69474|101|PAUL HOMER|518||||533690
69475|101|SHELLY SNYDER|491||||533690
69476|101|STEPHANIE LERNER|65||||533690
69477|101|WALT MICHALSKI|240||||533690
69478|101|AMERICAN EXPRESS|177||||533690
69479|101|AFT|107||||533690
69480|101|APEXCOMPU CORPORATION|795||||533690
69481|101|CEDRONE'S FLOWERS|91||||533690
69482|101|DEER PARK|6||||533690
69483|101|HAHNEMANN UNIVERSITY HOSPITAL|1500||||533690
69484|101|HILTON HARRISBURG|253||||533690
69485|101|KONICA MINOLTA BUSINESS|317||||533690
69486|101|PARKWAY CORPORATION|726||||533690
69487|101|PETTY CASH|230||||533690
69489|101|THE SCHOOL DISTRICT OF PHILADELPHIA|8895||||533690
69490|101|UPPER ST. CLAIR SCHOOL DISTRICT|21223||||533690
69491|101|W.B. MAASON CO|304||||533690
69492|101|WILLIG, WILLIAMS & DAVIDSON|2044||||533690
69493|101|PAYROLL TAXES PAYABLE|2471||||533690
69494|101|401(K) CONTRIBUTION|6460||||533690
69495|101|ROTH 401(K) CONTRIBUTION|973||||533690
69496|101|OTHER ACCRUED EXPENSES|9002||||533690
69497|102|All Other Accounts|||||533690
69498|102|All Other Accounts|53266|0|0|0|533701
69499|101|PROPERTY TAXES|4050|0|0|0|533709
69500|101|BOILERMAKER FUNDS - JUNE CONTRIBUTIONS|26037||||533709
69501|102|All Other Accounts|||||533709
69502|102|All Other Accounts|||||533718
69503|102|All Other Accounts|0|0|0|0|533719
69504|102|All Other Accounts|0|0|0|0|533731
69505|102|All Other Accounts|4203|0|0|0|533745
69506|101|FIA Credit Card Services|1554||||533747
69507|101|FIA Credit Card Services|568||||533747
69508|101|FIA Credit Card Services|414||||533747
69509|101|FIA Credit Card Services|586||||533747
69510|101|AT&T|212||||533747
69511|101|Comcast Cable|223||||533747
69512|101|Shell Oil Company|1023||||533747
69513|101|Verizon Wireless|117||||533747
69514|102|All Other Accounts|||||533747
69515|101|LGE LOST WAGES |22090|0|0|0|533768
69516|101|IBEW INTL PER CAPITA |13577|0|0|0|533768
69517|101|BBT CREDIT CARD |6711|0|0|0|533768
69518|102|All Other Accounts|2759|0|0|0|533768
69519|102|All Other Accounts|153723||||533772
69520|101|NONE|0|0|0|0|533799
69521|102|All Other Accounts|||||533799
69522|101|NONE|0|0|0|0|533811
69523|102|All Other Accounts|22438|0|0|0|533811
69524|102|All Other Accounts|4133445||||533822
69525|102|All Other Accounts|809||||533823
69526|102|All Other Accounts|625633||||533826
69527|101|Autoridad de Acueductos y Alcantarillados|71||||533828
69528|101|Autoridad de Energia Electrica|534||||533828
69529|101|Centro de Recaudación de Ingresos Municipales|371||||533828
69530|101|Internal Revenue Service|234||||533828
69531|101|Onelink Communications|113||||533828
69532|101|Producciones Ricardo Ramirez|200||||533828
69533|101|Puerto Rico Telephone Co.|3291||||533828
69534|101|RICOH Puerto Rico|178||||533828
69535|101|Secretario de Hacienda|5580||||533828
69536|101|American Express|3783||||533828
69537|101|Banco Popular de Puerto Rico|1246||||533828
69538|102|All Other Accounts|||||533828
69539|102|All Other Accounts|10450||||533845
69540|101|A/P to International for Receipts Sold in June|16542|0|0|0|533849
69541|101|William Creeden|125|0|0|0|533849
69542|101|AT&T|73|0|0|0|533849
69543|101|BEC|34|0|0|0|533849
69544|101|Nex Air|887|0|0|0|533849
69545|102|All Other Accounts|0|0|0|0|533849
69546|102|All Other Accounts|||||533850
69547|101|UBCJ PER CAPITA (NOT AUDITED)|10996||||533853
69548|102|All Other Accounts|||||533853
69549|102|All Other Accounts|22235|0|0|0|533854
69556|102|All Other Accounts|||||533909
69557|102|All Other Accounts|2863||||533917
69558|101|A/P to International for Receipts Sold in June|11949|0|0|0|533927
69559|101|Boilermakers Annuity Trust|275|0|0|0|533927
69560|101|Boilermakers District 57|1303|0|0|0|533927
69561|101|Boilermakers Health & Welfare|1223|0|0|0|533927
69562|101|Bruce Green|250|0|0|0|533927
69563|101|Boilermakers Pension Trust|2435|0|0|0|533927
69564|101|Mr. William Creeden|1413|0|0|0|533927
69565|101|Jani King|225|0|0|0|533927
69566|101|H & S Tool Co|428|0|0|0|533927
69567|101|Muscle Shoals Electric Board|2359|0|0|0|533927
69568|102|All Other Accounts|16029|0|0|0|533927
69569|102|All Other Accounts|15228||||533958
69570|101|ACCOUNTS PAYABLE|40100|0|0|0|533988
69571|101|SCHOLARSHIPS PAYABLE|86750|0|0|0|533988
69572|102|All Other Accounts|||||533988
69577|102|All Other Accounts|0|0|0|0|534030
69578|102|All Other Accounts|||||534034
69579|102|All Other Accounts|10422|0|0|0|534042
69580|101|PAYROLL LIAB|5897||||534044
69581|102|All Other Accounts|||||534044
69582|102|All Other Accounts|60220||||534045
69583|101|N/A|0||||534046
69584|102|All Other Accounts|||||534046
69585|102|All Other Accounts|65019||||534056
69586|102|All Other Accounts|26650||||534066
69588|102|All Other Accounts|277240||||534090
69589|101|Industry Trust Fund|10563||||534128
69590|101|Various|1843||||534128
69591|102|All Other Accounts|||||534128
69592|101|International Union of Painters (Parent)|25633|0|0|0|534135
69593|101|(The information on this page is for disclosure|0|0|0|0|534135
69594|101|purposes only.  It has not been subjected to audit|0|0|0|0|534135
69595|102|All Other Accounts|4312|0|0|0|534135
69596|101|DUE TO NORTHEAST REGIONAL COUNCIL OF CARPENTERS|8756||||534155
69597|102|All Other Accounts|||||534155
69598|102|All Other Accounts||||0|534165
69599|102|All Other Accounts|6454||||534183
69600|101|Ironworkers Local Union & District Councils Plan|5491||||534189
69601|101|Ironworkers Local Union & District Councils Plan|5398||||534189
69602|102|All Other Accounts|13997||||534189
69603|102|All Other Accounts|52792||||534207
69604|102|All Other Accounts|||||534217
69605|101|Plumbers Local 34 - outside contract services|7472||||534224
69606|102|All Other Accounts|2144||||534224
69608|101|IRONWORKER LOCAL 392 FRINGES|15218||||534229
69609|101|IRONWORKERS LU & DC PENSION|5252||||534229
69610|101|REAL ESTATE TAX |3118||||534229
69611|102|All Other Accounts|||||534229
69613|102|All Other Accounts|43662|0|0|0|534244
69614|102|All Other Accounts|0|0|0|0|534261
69615|102|All Other Accounts|0|0|0|0|534262
69616|101|NONE|0|0|0|0|534280
69617|102|All Other Accounts|0|0|0|0|534280
69618|102|All Other Accounts|10343||||534282
69619|101|NONE|0|0|0|0|534310
69620|102|All Other Accounts|0|0|0|0|534310
69656|101|NONE|0|0|0|0|534318
69657|102|All Other Accounts|0|0|0|0|534318
69658|102|All Other Accounts|||||534320
69659|102|All Other Accounts|12257||||534324
69660|102|All Other Accounts|||||534376
69661|101|Local 107 - Construction in Process|0|0|0|0|534378
69662|101|Payroll tax witholdings|136|0|0|0|534378
69663|102|All Other Accounts|||||534378
69664|102|All Other Accounts|9608||||534385
69665|102|All Other Accounts|34518|0|0|0|534386
69666|102|All Other Accounts|833659|0|0|0|534387
69667|101|LIUNA|10059||||534388
69668|102|All Other Accounts|||||534388
69669|102|All Other Accounts|||||534389
69670|102|All Other Accounts|||||534391
69671|101|NONE|0|0|0|0|534392
69672|102|All Other Accounts|0|0|0|0|534392
69673|102|All Other Accounts|||||534393
69674|101|International Assoc. of Iron Workers|8339|0|0|0|534398
69675|102|All Other Accounts|1676|0|0|0|534398
69676|102|All Other Accounts|||||534404
69677|101|PAYROLL TAXES PAYABLE|7888||||534409
69678|101|PER CAPITA TAXES DUE|20253||||534409
69679|102|All Other Accounts|||||534409
69681|101|GCC/IBT|5752|0|0|0|534437
69682|102|All Other Accounts|||||534437
69683|102|All Other Accounts|||||534441
69684|101|PAYROLL TAXES PAYABLE|4993||||534446
69685|102|All Other Accounts|||||534446
69686|101|International Brotherhood of Electrical Workers|22034|0|0|0|534447
69687|102|All Other Accounts|6132|0|0|0|534447
69688|102|All Other Accounts|8991||||534451
69689|102|All Other Accounts|12643||||534454
69690|102|All Other Accounts|||||534455
69691|102|All Other Accounts|||||534460
69692|101|NONE|0|0|0|0|534462
69693|102|All Other Accounts|0|0|0|0|534462
69694|102|All Other Accounts|||||534480
69695|102|All Other Accounts|||||534481
69696|101|DEATH BENEFIT PAYMENTS PENDING|12790||5116||534490
69697|102|All Other Accounts|2614||||534490
69698|101|UNITED ASSOCIATION|28997|0|0|0|534494
69699|101|PNC BANK|7796|0|0|0|534494
69700|101|UNITED ASSOCIAITON PEC|6757||||534494
69701|101|FORESIGHT SYSTEMS|7030||||534494
69702|102|All Other Accounts|36424||||534494
69703|102|All Other Accounts|||||534534
69704|102|All Other Accounts|||||534561
69705|102|All Other Accounts|0|0|0|0|534563
69706|101|NONE|0|0|0|0|534565
69707|102|All Other Accounts|0|0|0|0|534565
69708|101|NONE|0|0|0|0|534567
69709|102|All Other Accounts|0|0|0|0|534567
69710|101|NONE|0|0|0|0|534568
69711|102|All Other Accounts|0|0|0|0|534568
69712|102|All Other Accounts|210|0|0|0|534570
69713|102|All Other Accounts|||||534571
69714|101|N/A|0|0|0|0|534586
69715|102|All Other Accounts|0|0|0|0|534586
69716|101|NYCDCC - Welfare Fund|21279||||534591
69717|101|NYCDCC - Per Capita|31029||||534591
69718|102|All Other Accounts|||||534591
69719|102|All Other Accounts|5661||||534592
69720|102|All Other Accounts|||||534594
69721|102|All Other Accounts|1250||||534598
69722|102|All Other Accounts|||||534603
69727|102|All Other Accounts|10190|0|0|0|534608
69728|101|NONE|0|0|0|0|534609
69729|102|All Other Accounts|0|0|0|0|534609
69730|101|SMW Benefits|18075||||534612
69731|101|SMW Intl Per Capita|23764||||534612
69732|101|SMW Local Union and Councils|7826||||534612
69733|101|Us Bank Visa|1541||||534612
69734|102|All Other Accounts|||||534612
69735|101|Payroll Taxes Payable|2323|0|0|0|534613
69736|102|All Other Accounts|0|0|0|0|534613
69737|102|All Other Accounts|717||||534618
69738|102|All Other Accounts|20329|0|0|0|534637
69739|102|All Other Accounts|||||534641
69740|102|All Other Accounts|0|0|||534642
69741|101|NONE|0|0|0|0|534646
69742|102|All Other Accounts|26317|0|0|0|534646
69743|102|All Other Accounts|||||534659
69744|101|NONE|0|0|0|0|534660
69745|102|All Other Accounts|7891|0|0|0|534660
69746|101|United Brotherhood of Carpenters (Parent)|8218|0|0|0|534662
69747|101|(The information on this page is for disclosure|0|0|0|0|534662
69748|101|purposes only.  It was not subjected to audit.)|0|0|0|0|534662
69749|102|All Other Accounts|5292||||534662
69750|101|N/A|0|0|0|0|534673
69751|102|All Other Accounts|||||534673
69752|102|All Other Accounts|45006|0|0|0|534675
69753|102|All Other Accounts|||||534681
69754|101|NONE|0|0|0|0|534682
69755|102|All Other Accounts|1546515|0|0|0|534682
69756|102|All Other Accounts|||||534683
69757|101|NONE|0|0|0|0|534684
69758|102|All Other Accounts|49007|0|0|0|534684
69759|101|NONE|0|0|0|0|534685
69760|102|All Other Accounts|191711|0|0|0|534685
69761|102|All Other Accounts|||||534687
69766|102|All Other Accounts|3047||||534690
69762|101|International Union of Painters (Parent)|14221|0|0|0|534690
69763|101|Painters District Council No. 36|6398|0|0|0|534690
69764|101|(The information on this page is for disclosure|0|0|0|0|534690
69765|101|purposes only.  It was not subjected to audit.)|0|0|0|0|534690
69767|102|All Other Accounts|||||534691
69768|101|N/A|0|0|0|0|534701
69769|102|All Other Accounts|0|0|0|0|534701
69771|102|All Other Accounts|23267|0|0|0|534705
69772|101|NONE|0|0|0|0|534706
69773|102|All Other Accounts|0|0|0|0|534706
69774|102|All Other Accounts|12881||||534707
69775|101|INTERNATIONAL PER CAPITA TAX|28303||||534711
69776|101|REGIONAL COUNCIL PER CAPITA TAX|2261||||534711
69777|102|All Other Accounts|||||534711
69778|101|PENSION, HEALTH AND WALFARE TRUST|21572||||534714
69779|101|INTERNATIONAL PER CAPITA|18743||||534714
69780|102|All Other Accounts|15038||||534714
69781|102|All Other Accounts|95347|0|0|0|534717
69782|101|Not Applicable|0|0|0|0|534721
69783|102|All Other Accounts|||||534721
69784|102|All Other Accounts|100263||||534733
69785|102|All Other Accounts|0||||534741
69786|102|All Other Accounts|||||534753
69787|101|IBEW Local 910 Pension Fund|4869||||534756
69788|101|IBEW Local 910 Annuity Fund|2027||||534756
69789|101|IBEW Local 910 Health & Welfare Fund|6785||||534756
69790|101|Northern NY EBB|598||||534756
69791|101|Verizon|222||||534756
69792|101|AT &T|729||||534756
69793|101|Tristate|128||||534756
69794|101|Sunocco|250||||534756
69795|101|Primelink|79||||534756
69796|101|Arnies Custom Printing|4908||||534756
69797|102|All Other Accounts|||||534756
69798|101|UBC PER CAPITA TAX (EST & NOT AUDITED)|30233||||534760
69799|102|All Other Accounts|||||534760
69800|102|All Other Accounts|||||534761
69801|102|All Other Accounts|||||534768
69802|101|N/A|0|0|0|0|534769
69803|102|All Other Accounts|||||534769
69804|102|All Other Accounts|0|0|0|0|534771
69805|101|Ironworkers International per capita|6590|0|0|0|534777
69806|101|Ironworkers Local #340 Fringe benefits|6412|0|0|0|534777
69807|102|All Other Accounts|4007|0|0|0|534777
69808|102|All Other Accounts|1278||||534778
69809|101|NONE|0|0|0|0|534782
69810|102|All Other Accounts|||||534782
69811|102|All Other Accounts|||||534783
69812|102|All Other Accounts|5965||||534787
69813|102|All Other Accounts|||||534789
69814|102|All Other Accounts|||||534790
69815|101|DEATH BENEFIT PAYABLE|2200||||534793
69816|101|PAYROLL TAXES AND W/H PAYABLE|4051||||534793
69817|102|All Other Accounts|||||534793
69818|102|All Other Accounts|||||534796
69819|102|All Other Accounts|||||534797
69820|102|All Other Accounts|18996||||534800
69821|101|INTERNATIONAL BROTHERHOOD|6614|0|0|0|534801
69822|101|IST CONSTRUCTION DIVISION|6174|0|0|0|534801
69823|101|BOILERMAKER PENSION|9956|0|0|0|534801
69824|101|BOILERMAKER HEALTH & WELFARE|6154|0|0|0|534801
69825|101|WESTERN STATE VACATION|1351|0|0|0|534801
69826|101|TRAINING EXPENSES|27059|0|0|0|534801
69827|101|OTHERS|2994||||534801
69828|102|All Other Accounts|||||534801
69829|102|All Other Accounts|97867|0|0|0|534809
