OID|INV_TYPE|NAME|AMOUNT|RPT_ID
193792|706|Other Investments Total Book Value|2542326|530169
193793|702|UNITED LABOR PROPERTIES|334315|530169
193794|702|GREAT AMERICAN LIC ANNUITY|210998|530169
193795|702|GREAT AMERICAN LIC ANNUITY|219754|530169
193796|702|AMERICAN NATIONAL ANNUITY|492380|530169
193797|702|GREAT AMERICAN ANNUITY|337873|530169
193798|702|GREAT AMERICAN ANNUITY|389253|530169
193799|702|EQUITRUST INDEXED ANNUITY|493734|530169
193804|703|Marketable Securities Total Cost|4834355|530200
193805|704|Marketable Securities Total BookValue|4834355|530200
193806|701|VANGUARD 500 INDEX FUND|1389918|530200
193807|705|Other Investments Total Cost||530200
193808|706|Other Investments Total Book Value||530200
193809|703|Marketable Securities Total Cost|1348427|530201
193810|704|Marketable Securities Total BookValue|1348427|530201
193811|701|VANGUARD 500 INDEX FUND|395354|530201
193812|705|Other Investments Total Cost||530201
193813|706|Other Investments Total Book Value||530201
193814|703|Marketable Securities Total Cost|1395334|530211
193815|704|Marketable Securities Total BookValue|1395334|530211
193816|701|LOOMIS SAYLES BOND INST - 66,798.712 SHARES|918003|530211
193817|701|PIMCO ALL ASSET A - 13,498.111 SHARES|167422|530211
193818|701|WELLS FARGO GOVT SEC INV - 8,369.132 SHARES|89119|530211
193819|705|Other Investments Total Cost||530211
193820|706|Other Investments Total Book Value||530211
193859|703|Marketable Securities Total Cost||530245
193860|704|Marketable Securities Total BookValue||530245
193861|705|Other Investments Total Cost||530245
193862|706|Other Investments Total Book Value||530245
193867|703|Marketable Securities Total Cost||530265
193868|704|Marketable Securities Total BookValue||530265
193869|705|Other Investments Total Cost||530265
193870|706|Other Investments Total Book Value||530265
193871|703|Marketable Securities Total Cost|559440|530276
193872|704|Marketable Securities Total BookValue|579516|530276
193873|701|VANGUARD SHORT-TERM INVESTMENT GRADE FUND|579516|530276
193874|705|Other Investments Total Cost|0|530276
193875|706|Other Investments Total Book Value|0|530276
193876|702|N/A|0|530276
193881|703|Marketable Securities Total Cost||530281
193882|704|Marketable Securities Total BookValue|0|530281
193883|705|Other Investments Total Cost||530281
193884|706|Other Investments Total Book Value|0|530281
193893|703|Marketable Securities Total Cost||530301
193894|704|Marketable Securities Total BookValue||530301
193895|705|Other Investments Total Cost||530301
193896|706|Other Investments Total Book Value||530301
193897|703|Marketable Securities Total Cost|2241362|530303
193898|704|Marketable Securities Total BookValue|2241362|530303
193899|701|100M Corning Inc 6.75% 09/15/2013|112981|530303
193900|701|150M Diageo Finance 5.5% 04/01/2013|153389|530303
193901|701|125M Emerson Electric 4.5% 05/01/2013|124631|530303
193902|701|330,201 shs Fidelity Muni Money Market            |330201|530303
193903|705|Other Investments Total Cost||530303
193904|706|Other Investments Total Book Value||530303
193905|703|Marketable Securities Total Cost||530311
193906|704|Marketable Securities Total BookValue||530311
193907|705|Other Investments Total Cost||530311
193908|706|Other Investments Total Book Value||530311
193909|703|Marketable Securities Total Cost|677259|530353
193910|704|Marketable Securities Total BookValue|739939|530353
193911|701|SPDR S&P 500 ETF|156670|530353
193912|701|Morgan Stanley Capital Trust III Preferred|75510|530353
193913|701|Morgan Stanley Capital Trust IV PFD|25150|530353
193914|701|JP Morgan Chase CAP XI|25110|530353
193915|701|Morgan Stanley Trust PFD Capital TR V Cumulative|155000|530353
193916|701|Citigroup Capital X TRUPS|50600|530353
193917|701|Citigroup Capital XI Trust PFD Secs|50640|530353
193918|701|Morgan Stanley Capital Trust VIII PFD|50240|530353
193919|701|Morgan Stanley Capital Trust VII|25230|530353
193920|701|Citigroup Capital XVII Enhanced Trust PFD|76170|530353
193921|705|Other Investments Total Cost||530353
193922|706|Other Investments Total Book Value||530353
193923|703|Marketable Securities Total Cost|35528|530365
193924|704|Marketable Securities Total BookValue|31811|530365
193925|701|COLUMBIA FUND|31811|530365
193926|705|Other Investments Total Cost||530365
193927|706|Other Investments Total Book Value||530365
193928|703|Marketable Securities Total Cost||530371
193929|704|Marketable Securities Total BookValue||530371
193930|705|Other Investments Total Cost|275035|530371
193931|706|Other Investments Total Book Value|299207|530371
193932|702|AFL-CIO Housing|299207|530371
193933|703|Marketable Securities Total Cost|24545132|530379
193934|704|Marketable Securities Total BookValue|24545132|530379
193935|701|PRIVATE ADVISORS HEDGED EQUITY FUND, LTD.|3241684|530379
193936|701|ORION FUTURES FUND, L.P.|3220000|530379
193937|705|Other Investments Total Cost|285600|530379
193938|706|Other Investments Total Book Value|285600|530379
193939|702|ULLICO, INC. CLASS A STOCK|285600|530379
193940|703|Marketable Securities Total Cost|437404|530380
193941|704|Marketable Securities Total BookValue|437404|530380
193942|701|CITIGROUP CAPITAL VIII - 8,000 SHARES|200000|530380
193943|701|BANKONE CAPITAL TRUST VI - 876 SHARES|21900|530380
193944|701|MORGAN STANLEY CAP TRUST III - 4,000 SHARES|100000|530380
193945|701|MORGAN STANLEY CAP TRUST VI - 2,000 SHARES|50000|530380
193946|705|Other Investments Total Cost||530380
193947|706|Other Investments Total Book Value||530380
193954|703|Marketable Securities Total Cost||530386
193955|704|Marketable Securities Total BookValue||530386
193956|705|Other Investments Total Cost|13000|530386
193957|706|Other Investments Total Book Value|13000|530386
193958|702|STOCK - TROWEL TRADES AND LATHERS, INC.|13000|530386
193959|703|Marketable Securities Total Cost|13979573|530394
193960|704|Marketable Securities Total BookValue|17051600|530394
193961|701|Vanguard - Inflation - Protect Sec Adm - PAC|10034|530394
193962|701|Vanguard Short Term Bond Index Sig - PAC|10039|530394
193963|701|Vanguard - Total Bond Mkt Inx Signal - PAC|10013|530394
193964|701|Vanguard - Short Term Bond Index - PAF|453658|530394
193965|701|Vanguard - Totl bd mkt inx-ins - PAF|563777|530394
193966|701|Vanguard - fxd inc ssecs hi yld crp - PAF|453172|530394
193967|701|Vanguard - inflation - protected securities - PAF|453969|530394
193968|701|Vanguard developed mkt adm - PAF|5058|530394
193969|701|Vanguard total stk mkt index fd - PAF|25846|530394
193970|701|RBC US Govt MMF - PAF|47133|530394
193971|701|Loomis Sayles instl high inc - NYSNA|2031321|530394
193972|701|Vanguard totl bd mkt inx-ins - NYSNA|2033711|530394
193973|701|Vanguard inflation - protected securities - NYSNA|2513603|530394
193974|701|Dodge & Cox intl stock fund - NYSNA|1113879|530394
193975|701|Vanguard Reit index fund admir - NYSNA|578534|530394
193976|701|Vanguard emerging markets stock index fund - NYSNA|1364689|530394
193977|701|Vanguard total stk mkt index fd - NYSNA|4097548|530394
193978|705|Other Investments Total Cost||530394
193979|706|Other Investments Total Book Value||530394
193980|703|Marketable Securities Total Cost||530397
193981|704|Marketable Securities Total BookValue||530397
193982|705|Other Investments Total Cost|850000|530397
193983|706|Other Investments Total Book Value|850000|530397
193984|702|36.56% OWNERSHIP IN BUILDING CORPORATION|850000|530397
193990|703|Marketable Securities Total Cost|7071442|530414
193991|704|Marketable Securities Total BookValue|7071442|530414
193992|701|PIMCO Low Duration Fund|4121975|530414
193993|705|Other Investments Total Cost||530414
193994|706|Other Investments Total Book Value||530414
193995|703|Marketable Securities Total Cost|3177121|530419
193996|704|Marketable Securities Total BookValue|3165006|530419
193997|701|Allianz Fixed Income Shares - Series M|335346|530419
193998|701|Allianz Fixed Income Shares - Series C|363676|530419
193999|701|Ivy Asset Strategy I|162387|530419
194000|701|JP Morgan High Yield Fund|250835|530419
194001|705|Other Investments Total Cost|15596391|530419
194002|706|Other Investments Total Book Value|11718164|530419
194003|702|AMO Building Corporation of Florida|9749490|530419
194004|702|AMO Building Corp of Ohio|969028|530419
194005|702|AMO Building Corporation |920924|530419
194006|703|Marketable Securities Total Cost|0|530423
194007|704|Marketable Securities Total BookValue|0|530423
194008|705|Other Investments Total Cost|0|530423
194009|706|Other Investments Total Book Value|0|530423
194022|703|Marketable Securities Total Cost||530432
194023|704|Marketable Securities Total BookValue||530432
194024|705|Other Investments Total Cost||530432
194025|706|Other Investments Total Book Value||530432
194030|703|Marketable Securities Total Cost|3155440|530435
194031|704|Marketable Securities Total BookValue|3559179|530435
194032|701|First Eagle Global Class I|1099184|530435
194033|701|Oakmark Equity & Income Fund I|903562|530435
194034|701|Vanguard Wellington Investor|743758|530435
194035|701|Vanguard Intermed Term Investor|283583|530435
194036|701|FPA New Income|258292|530435
194037|705|Other Investments Total Cost||530435
194038|706|Other Investments Total Book Value||530435
194043|703|Marketable Securities Total Cost|15828130|530446
194044|704|Marketable Securities Total BookValue|15828130|530446
194045|705|Other Investments Total Cost|10713|530446
194046|706|Other Investments Total Book Value|10713|530446
194047|702|AFL-CIO HOUSING INVESTMENT TRUST|10681|530446
194048|703|Marketable Securities Total Cost|838423|530449
194049|704|Marketable Securities Total BookValue|838423|530449
194050|701|Merrill Lynch |838423|530449
194051|705|Other Investments Total Cost|118|530449
194052|706|Other Investments Total Book Value|118|530449
194053|702|ULLICO Capitol Stock|100|530449
194054|702|GNMA|18|530449
194055|703|Marketable Securities Total Cost|25000|530451
194056|704|Marketable Securities Total BookValue|25000|530451
194057|701|HARRIS PREFERRED CAPITAL - 1,000 SHARES|25000|530451
194058|705|Other Investments Total Cost||530451
194059|706|Other Investments Total Book Value||530451
194060|703|Marketable Securities Total Cost||530452
194061|704|Marketable Securities Total BookValue||530452
194062|705|Other Investments Total Cost||530452
194063|706|Other Investments Total Book Value||530452
194064|703|Marketable Securities Total Cost|222468970|530453
194065|704|Marketable Securities Total BookValue|222468970|530453
194066|705|Other Investments Total Cost|4864728|530453
194067|706|Other Investments Total Book Value|4755755|530453
194068|702|Union Labor Life Insurance Co.|1207127|530453
194069|702|AFL-CIO Housing Trust|3548628|530453
194070|703|Marketable Securities Total Cost||530461
194071|704|Marketable Securities Total BookValue|0|530461
194072|705|Other Investments Total Cost||530461
194073|706|Other Investments Total Book Value|0|530461
194074|703|Marketable Securities Total Cost|350000|530467
194075|704|Marketable Securities Total BookValue|350000|530467
194076|701|MORGAN STANLEY CAP TR III - 4,000 SHARES|100000|530467
194077|701|MORGAN STANLEY CAP TR VI - 4,000 SHARES |100000|530467
194078|701|BELL SOUTH - 4,000 SHARES|100000|530467
194079|701|COUNTRYWIDE FIN CAP V - 2,000 SHARES|50000|530467
194080|705|Other Investments Total Cost||530467
194081|706|Other Investments Total Book Value||530467
194082|703|Marketable Securities Total Cost|175361|530469
194083|704|Marketable Securities Total BookValue|175679|530469
194084|705|Other Investments Total Cost|239106|530469
194085|706|Other Investments Total Book Value|239106|530469
194086|702|PROTECTIVE LIFE ANNUITY|239106|530469
194087|703|Marketable Securities Total Cost|502|530472
194088|704|Marketable Securities Total BookValue|502|530472
194089|701|RBC Mortgage Backed Bonds|0|530472
194090|705|Other Investments Total Cost||530472
194091|706|Other Investments Total Book Value||530472
194092|703|Marketable Securities Total Cost|25286484|530473
194093|704|Marketable Securities Total BookValue|23971091|530473
194094|701|Dodge & Cox Balanced Fund|8931803|530473
194095|705|Other Investments Total Cost||530473
194096|706|Other Investments Total Book Value||530473
194097|703|Marketable Securities Total Cost|2509527|530475
194098|704|Marketable Securities Total BookValue|2509527|530475
194099|701|FEDERATED PRIME OBLIGATION FUND-CASH EQUIVALENT|165858|530475
194100|705|Other Investments Total Cost||530475
194101|706|Other Investments Total Book Value||530475
194102|703|Marketable Securities Total Cost|3882|530477
194103|704|Marketable Securities Total BookValue|3882|530477
194104|705|Other Investments Total Cost|214903|530477
194105|706|Other Investments Total Book Value|214903|530477
194106|702|Office building - Mason Trades Building|214903|530477
194107|703|Marketable Securities Total Cost|1041869|530523
194108|704|Marketable Securities Total BookValue|1041869|530523
194109|701|Certificate of deposits|186555|530523
194110|701|Allianz Funds|855314|530523
194111|705|Other Investments Total Cost||530523
194112|706|Other Investments Total Book Value||530523
194113|703|Marketable Securities Total Cost|23030|530973
194114|704|Marketable Securities Total BookValue|23030|530973
194115|701|PNC MUTUAL FUND|23029|530973
194116|705|Other Investments Total Cost||530973
194117|706|Other Investments Total Book Value||530973
194170|703|Marketable Securities Total Cost|5977988|531612
194171|704|Marketable Securities Total BookValue|5977988|531612
194172|701|Bernstein International Portfolio|535593|531612
194173|701|Bernstein International Duration Institutional Por|1738945|531612
194174|701|Overlay A Portfolio Class 2|1003793|531612
194175|701|Overlay B Portfolio Class 2|846993|531612
194176|705|Other Investments Total Cost||531612
194177|706|Other Investments Total Book Value||531612
194178|703|Marketable Securities Total Cost|0|531640
194179|704|Marketable Securities Total BookValue|0|531640
194180|701|NONE|0|531640
194181|705|Other Investments Total Cost|0|531640
194182|706|Other Investments Total Book Value|0|531640
194183|702|NONE|0|531640
194210|703|Marketable Securities Total Cost||531925
194211|704|Marketable Securities Total BookValue|172790|531925
194212|701|ULLICO - General Fund|172790|531925
194213|705|Other Investments Total Cost||531925
194214|706|Other Investments Total Book Value|22516677|531925
194215|702|General Fund Investments|12453890|531925
194216|702|Defense Fund Investments|4588607|531925
194217|702|Convention Fund Investments|5474180|531925
194226|703|Marketable Securities Total Cost||532002
194227|704|Marketable Securities Total BookValue||532002
194228|705|Other Investments Total Cost|757473|532002
194229|706|Other Investments Total Book Value|757473|532002
194246|703|Marketable Securities Total Cost||532159
194247|704|Marketable Securities Total BookValue||532159
194248|705|Other Investments Total Cost||532159
194249|706|Other Investments Total Book Value||532159
194268|705|Other Investments Total Cost||532181
194265|703|Marketable Securities Total Cost|27068|532181
194266|704|Marketable Securities Total BookValue|34141|532181
194267|701|Oppenhiemer Investment Fund|34141|532181
194269|706|Other Investments Total Book Value||532181
194279|703|Marketable Securities Total Cost|288939|532201
194280|704|Marketable Securities Total BookValue|344938|532201
194281|701|5078.842 SHS AIM INVESCO EQUITY & INCOME FUND CL A|51804|532201
194282|701|1317.831 SHA AIM INVESCO AMERICAN FRANCHISE CL A|18028|532201
194283|701|2878.936 SHS AIM INVESCO COMSTOCK CL A|58298|532201
194284|701|5095.425 SHS AMIERICAN HIGH INCOME CL A|59158|532201
194285|701|424.531 SHS CAPITAL INCOME BUILDER CL A|24343|532201
194286|701|474.343 SHS GROWTH FUND OF AMERICA CL A|17992|532201
194287|701|1241.292 SHS INCOME FUND OF AMERICA CL A|24379|532201
194288|701|1702.068 SHS MFS TOTAL RETURN CL A|28016|532201
194289|701|1500.498 SHS MFS UTILITIES CL A|31796|532201
194290|701|1073.617 SHS MFS VALUE CL A|31124|532201
194291|705|Other Investments Total Cost||532201
194292|706|Other Investments Total Book Value||532201
194293|703|Marketable Securities Total Cost|2950000|532277
194294|704|Marketable Securities Total BookValue|2950025|532277
194295|701|CNI GOV'T MONEY MARKET CL N|2950000|532277
194296|705|Other Investments Total Cost||532277
194297|706|Other Investments Total Book Value||532277
194298|703|Marketable Securities Total Cost||532310
194299|704|Marketable Securities Total BookValue|9883770|532310
194300|701|SCH ADV CASH RESRV PREM|670624|532310
194301|701|FIDELITY ADV FLOATING|212819|532310
194302|701|FIDELITY STRATEGIC|103529|532310
194303|701|LOOMIS SAYLES STRATEGIC|113609|532310
194304|701|PIMCO TOTAL RETURN FUND|98944|532310
194305|701|BLACKROCK GLOBAL|119470|532310
194306|701|ISHARES TR BARCLAYS BOND|221739|532310
194307|701|VANGUARD FTSE EMERGING|50324|532310
194308|701|VANGUARD FTSE EMERGING|267784|532310
194309|701|VANGUARD INTL EQTY ETF|61323|532310
194310|701|VANGUARD MSCI EAFE ETF|233813|532310
194311|701|VANGUARD REIT|52686|532310
194312|701|VANGUARD SMALL CAP GRWTH|49765|532310
194313|701|VANGUARD SMALL CAP VALUE|49332|532310
194314|701|VANGUARD VALUE|261222|532310
194315|701|MOODY NATIONAL BANK CD|260318|532310
194316|701|CHASE BANK CD|252590|532310
194317|701|UNITY NATIONAL BANK CD|264890|532310
194318|701|COMPASS BANK CD|262516|532310
194319|701|CHASE SAVINGS ACCOUNT|6275372|532310
194320|705|Other Investments Total Cost||532310
194321|706|Other Investments Total Book Value||532310
194322|703|Marketable Securities Total Cost||532313
194323|704|Marketable Securities Total BookValue||532313
194324|705|Other Investments Total Cost|91615|532313
194325|706|Other Investments Total Book Value|91615|532313
194326|703|Marketable Securities Total Cost||532350
194327|704|Marketable Securities Total BookValue||532350
194328|705|Other Investments Total Cost||532350
194329|706|Other Investments Total Book Value||532350
194339|703|Marketable Securities Total Cost|0|532367
194340|704|Marketable Securities Total BookValue|0|532367
194341|705|Other Investments Total Cost|0|532367
194342|706|Other Investments Total Book Value|0|532367
194343|703|Marketable Securities Total Cost|257909|532368
194344|704|Marketable Securities Total BookValue|258929|532368
194345|701|BLACKROCK LOW DURATION BOND FUND|258929|532368
194346|705|Other Investments Total Cost||532368
194347|706|Other Investments Total Book Value||532368
194348|703|Marketable Securities Total Cost||532373
194349|704|Marketable Securities Total BookValue||532373
194350|705|Other Investments Total Cost||532373
194351|706|Other Investments Total Book Value||532373
194352|703|Marketable Securities Total Cost||532403
194353|704|Marketable Securities Total BookValue||532403
194354|705|Other Investments Total Cost||532403
194355|706|Other Investments Total Book Value||532403
194356|703|Marketable Securities Total Cost|0|532404
194357|704|Marketable Securities Total BookValue|0|532404
194358|705|Other Investments Total Cost||532404
194359|706|Other Investments Total Book Value||532404
194364|703|Marketable Securities Total Cost||532413
194365|704|Marketable Securities Total BookValue||532413
194366|705|Other Investments Total Cost||532413
194367|706|Other Investments Total Book Value||532413
194372|703|Marketable Securities Total Cost|2202183|532454
194373|704|Marketable Securities Total BookValue|2202183|532454
194374|701|MORGAN STANLEY CITIBANK N.A. MONEY MARKET|205493|532454
194375|701|TD ASSET MGMT US GOV'T PORT INSTL|1034771|532454
194376|705|Other Investments Total Cost||532454
194377|706|Other Investments Total Book Value||532454
194382|703|Marketable Securities Total Cost|36316241|532464
194383|704|Marketable Securities Total BookValue|36316241|532464
194384|701|VANGUARD DIVIDEND FUND|4798978|532464
194385|701|FPA NEW INCOME FUND|6852435|532464
194386|701|IVA INTERNATIONAL|2280788|532464
194387|701|PIMCO ALL ASSET|3128738|532464
194388|701|PIMCO REAL RETURN FUND|4079288|532464
194389|705|Other Investments Total Cost||532464
194390|706|Other Investments Total Book Value||532464
194391|703|Marketable Securities Total Cost|0|532466
194392|704|Marketable Securities Total BookValue|0|532466
194393|701|NONE|0|532466
194394|705|Other Investments Total Cost|0|532466
194395|706|Other Investments Total Book Value|0|532466
194396|702|NONE|0|532466
194397|703|Marketable Securities Total Cost|11148|532472
194398|704|Marketable Securities Total BookValue|23479|532472
194399|701|AMERICAN FUNDS|23479|532472
194400|705|Other Investments Total Cost|0|532472
194401|706|Other Investments Total Book Value|0|532472
194402|702|N/A|0|532472
