OID|DESCRIPTION|BOOK_VALUE|RPT_ID
51433|PREPAID EXPENSES|4305|530378
51434|DEPOSITS|1600|530378
51435|ACCRUED INTEREST RECEIVABLE|42|530378
51436|PREPAID DEPOSITS|1844|530379
51437|SUPPLIES INVENTORY|18749|530379
51438|RECEIVABLE TEAMSTERS EXPENSES|1475878|530379
51439|DEFERRED COMPENSATION|463555|530379
51440|OFFICE LEASE DEPOSIT|1566|530386
51441|Prepaid Expenses|334272|530394
51442|Inventory|13463|530394
51443|Security Deposits|124100|530394
51538|Prepaid Expenses|160210|531925
51446|Deposit - US Postmaster|3904|530414
51447|Due from Affiliates|274131|530414
51448|Prepaid Insurance Expense|55289|530419
51449|Prepaid Travel Expense|2579|530419
51450|Prepaid Telephone Expense|7595|530419
51451|Prepaid Recruiting Expense|26265|530419
51452|Prepaid Public Relations Expense|7500|530419
51453|Prepaid Office Expense|5341|530419
51454|Prepaid Participation Expense|15400|530419
51455|Prepaid Subscription Expense|14389|530419
51456|Prepaid Rent Expense|9277|530419
51457|Prepaid Per Capita|1300|530419
51458|Prepaid Meetings|13500|530419
51459|Prepaid Personnel Development|1774|530419
51460|Security Deposits|28855|530419
51461|Promotional Materials|80809|530419
51462|Allowance for Doubtful Accounts|-6709417|530419
51463|Unrealized Valuation Allowance in Investments|423047|530419
51464|NONE|0|530423
51469|PREPAID GENERAL INSURANCE|345|530430
51470|PREPAID HEALTH INSURANCE|1195|530430
51471|PREPAID STRIKE FUND|2883|530430
51472|Miscellaneous Prepaid Expenses|2089|530435
51473|Prepaid Postage|73700|530435
51474|Rent Deposit|245|530435
51475|Accrued Interest Income|3601|530435
51476|PREPAID POSTAGE|60719|530446
51477|PREPAID TRANSIT CHECKS|59812|530446
51478|PREPAID OPERATING EXPENSES|96595|530446
51479|ACCRUED INTEREST AND DIVIDENDS|63505|530446
51480|SECURITY DEPOSITS|81761|530446
51481|DUE FROM PROPERTY MANAGER|81063|530446
51482|DUE FROM BROKERS|178534|530446
51483|Rent Deposits|8630|530449
51484|Supplies For Resale|9260|530449
51485|Accrued interests and dividends|1918107|530453
51486|Prepaid expenses|849981|530453
51487|Inventory|320093|530453
51488|Leasing commissions|105884|530453
51489|Deposits|17626|530453
51490|Prepaid Expenses|9438|530461
51491|Other Assets|3704|530461
51492|Challenger Escrow|7921|530461
51493|PREPAID EXPENSES|1435|530469
51494|BACK UP WITHHOLDING|707|530469
51495|Prepaid Expenses - Leasing Commissions|192537|530472
51496|Prepaid Expenses - Insurance & Other|32298|530472
51497|Security Deposit|2000|530472
51498|Interest Receivable|4102|530472
51499|Rent Receivable|16333|530472
51500|Prepaid Assets|381930|530473
51501|Security Deposit|23478|530473
51502|MISCELLEANOUS RECEIVABLE-SHORT CHECKS|3050|530475
51503|Security deposit|4000|530523
51868|PREPAID INSURANCE|6229|534657
51523|Trophies on hand|21950|531612
51524|Transit checks on hand|13192|531612
51525|IRS 990T refund applied from prior period|3707|531612
51526|Interest receivable|2428|531612
51527|Award show revenue receivable|4100|531612
51528|NONE|0|531640
51531|Security Deposit-Utilities |341|531828
51539|Protested Checks|35758|531925
51540|Due from Other Funds|440277|531925
51547|Payroll tax receivable|1886|532110
51553|Prepaid Expenses|6211|532175
51561|Inventory: Jackets, Shirts & Pins|4594|532181
51569|DUE FROM APPRENTICESHIP FUND|850|532201
51570|DEPOSITS|9171|532277
51571|DEPOSITS|2920|532305
51572|DUE FROM AFFILIATE|50|532305
51573|Security Deposits|12859|532307
51574|Prepaid Legal Fees|-23960|532307
51575|PREPAID EXPENSES|113951|532310
51576|LESS RESERVE FOR BAD DEBTS|-14292|532310
51577|PREPAID RENT AND INSSURANCE|1074|532350
51578|DAMAGE DEPOSIT ON OFFICE|1000|532350
51579|INVENTORY OF CLOTHING WITH UNION LOGO|975|532350
51583|ACCRUED INTEREST|468|532368
51584|SECURITY DEPOSIT ON BUILDING|65000|532368
51585|Prepaid Expenses|33346|532373
51586|PREPAID EXPENSES|42191|532404
51587|SECURITY DEPOSIT|12465|532404
51588|Prepaid Expenses|8338|532413
51589|Due from The SSOBA Welfare Fund|117469|532413
51590|Escrow deposit|12336|532413
51591|PREPAID EXPENSES|14341|532451
51592|PREPAID INSURANCE|986|532454
51594|PREPAID TRAVEL|26779|532464
51595|SECURITY DEPOSITS|2591947|532464
51596|PREPAID INSURANCE|360935|532464
51597|PREPAID SOFTWARE LICENSES|37356|532464
51598|PREPAID PER-CAPITA|227849|532464
51599|PREPAID RENT|170378|532464
51600|INTEREST RECEIVABLE|33958|532464
51601|PREPAID OPERATING EXPENSES|77712|532464
51602|NONE|0|532466
51603|NONE|0|532472
51604|CASH SURRENDER VALUE OF LIFE INSURANCE|105874|532473
51605|PAYROLL TAXES RECEIVABLE|1648|532473
51608|Accrued Interest|2836|532476
51609|Due from related party|12253|532476
51613|Deposits|2420|532598
51617|Shirts|6140|532669
51621|Amounts due from SAL 497 Realty|14008|532716
51630|Prepaid Expenses|248178|532923
51631|Security Deposits|70753|532923
51632|Event Deposits|61344|532923
51633|Post Retirement Liability due from Membershhip Ben|468315|532923
51635|PREPAID BENEFITS|43904|532942
51636|PREPAID RENT & UTILITIES|1927|532984
51640|DEPOSIT|86|533039
51641|MEMBER FUNDS|103795|533039
51642|SUPPLIES INVENTORY|9045|533039
51646|INVENTORY OF SHIRTS, ETC (ESTIMATED & NOT AUDITED)|20451|533096
51650|NONE|0|533131
51652|Prepaid Insurance|5573|533302
51657|PREPAID EXPENSE|7446|533356
51658|WORKERS COMPENSATION DEPOSIT|86|533356
51659|LEASED EQUIPMENT CAPITALIZED|7531|533356
51660|Shares in ditch company|60|533409
51661|PREPAID AIRFARE|96061|533421
51662|PREPAID INSURANCE|6488|533421
51663|SIGNALMAN'S STORE INVENTORY|74288|533421
51664|FUNDS FROM AFFILIATES TO BE RECEIVED|8951|533421
51665|SECURITY DEPOSITS|4073|533438
51666|Prepaid payroll deduction|758|533439
51668|Prepaid insurance|1109|533461
51669|Employee Advances|4459|533474
51670|Prepaid Insurance|16067|533474
51671|Accrued Interest Receivable|6686|533474
51672|Inventory|15750|533474
51673|Prepaid Insurance |46869|533477
51674|D.C. Organizing reimbursement|7200|533479
51675|Accrued interest|39|533479
51676|Prepaid insurance & deposit|5111|533479
51677|Prepaid expenses - other|3838|533479
51678|Inventory - supplies for resale|4312|533479
51679|NONE|0|533480
51682|Security Deposit|4000|533499
51715|ADVANCE TO EXECUTIVE DIRECTOR|500|533568
51717|Security Deposit|4400|533604
51718|PREPAID EXPENSES|650|533648
51719|OTHERS|5139|533690
51720|PREPAID INSURANCE|17250|533690
51721|PREPAID DUES & SUBSCRIPTION|927|533690
51722|PREPAID EMPLOYEE BENEFITS|21343|533690
51723|DEPOSITS|400|533690
51724|OTHER PREPAID EXPENSES|3126|533690
51725|EMPLOYEE RECEIVABLE|1707|533701
51726|PREPAID INSURANCE|20575|533709
51727|OTHER PREPAID EXPENSES|4000|533709
51728|BIBLES - 2 @ $30.95 EACH|62|533718
51729|BIBLES - 6 @ $34.25 EACH|205|533718
51730|BIBLES - 5 @ $34.25 EACH|171|533718
51731|SHIRTS - 201 @ $6.73 EACH|1353|533718
51732|SHIRTS - 108 @ $7.77 EACH|839|533718
51733|SHIRTS - 47 @ $8.80 EACH|414|533718
51734|Prepaid Insurance|5000|533731
51735|Contribution certificate|100|533733
51736|Utility deposit|39|533733
51737|EQUITY IN BUILDING ASSOC |41958|533768
51738|PREPAID INSURANCE |3269|533768
51739|INTEREST RECEIVABLE|1063|533772
51740|PREPAID EXPENSES|8464|533772
51741|SECURITY DEPOSITS|19826|533772
51742|LOAN PAYMENTS MADE IN ERROR TO BE REFUNDED|1442|533799
51743|ACCRUED INTEREST RECEIVABLE|12025|533811
51744|ACCRUED INTEREST|1187212|533822
51745|DEPOSITS|242488|533822
51746|DUE FROM RENTAL AGENT|315316|533822
51747|Memorial Bibles for giveaway; a list is maintained|1491|533823
51748|DUE FROM AFFILIATES|75490|533824
51749|Security Deposits|19947|533826
51750|Expense Allowance Advanced|10350|533826
51751|Prepaid Expenses|1487|533845
51752|Utility Deposits|250|533845
51753|DUE FROM FREDERICK W. DEVINE SCHOLARSHIP FUND|6318|533846
51754|INVENTORY OF SHIRTS, ETC (ESTIMATED & NOT AUDITED)|15503|533853
51755|DEPOSITS|35|533854
51756|Utility Deposit|2211|533927
51757|SECURITY DEPOSIT|1444|533948
51758|SUPPLIES FOR RESALE|780|533979
51761|GUARANTY DEPOSITS|3073|534014
51762|OTHERS|22490|534014
51763|Prepaid Payroll Taxes|648|534030
51764|SECURITY DEPOSITS|450|534042
51765|SECURITY DEPOSITS|2170|534046
51766|FEDERAL PAYROLL TAXES OVERPAID|441|534046
51767|BOILERMAKERS LOCAL # 27 SUPPLEMENTAL TRAINING & ED|23391|534056
51768|Inventory of supplies for resale |4850|534061
51769|DEPOSITS|2812|534066
51770|PREPAID INSURANCE|7702|534066
51772|Security Deposits|2355|534084
51773|Other|8729|534089
51774|Deposits|1136|534089
51775|Prepaid insurance|26186|534090
51776|Security deposit|1606|534090
51777|Interest receivable|6142|534090
51778|Prepaid International Dues|18796|534128
51779|Prepaid other expenses|652|534128
51780|N/A|0|534135
51781|PREPAID INSURANCE|456|534200
51782|TOTAL ASSETS SUBSID ORGANIZATION, SEE QUESTION 10|974494|534200
51783|INVENTORY OF APPAREL (NOT AUDITED)|35680|534200
51784|PREPAID INSURANCE|128|534202
51785|PREPAID INSURANCE|12901|534207
51786|PREPAID POSTAGE|544|534207
51787|EXPENSE ADVANCES|1378|534207
51788|MISC PREPAID EXPENSES|92|534207
51789|Workman's Compensation Insurance Deposit|1294|534217
51790|Members' promotional items for give-a-ways|3960|534224
51794|INVENTORY - SHIRTS, HATS, PEN|7354|534239
51795|ACCRUED INTEREST|977|534239
51796|Building Elect. Workers Home Association, Inc.|5723|534262
51797|Automobile Elect. Workers Home Association, Inc.|8135|534262
51798|Furniture & Fixtures Elect. Wkrs. Home Assoc. Inc.|6787|534262
51799|PREPAID RENT|6196|534280
51800|PREPAID INSURANCE|8911|534282
51801|PREPAID PER CAPITA DUES|690|534282
51802|WORKERS COMPENSATION DEPOSIT|121|534282
51803|INTEREST RECEIVABLE|60|534282
51804|NONE|0|534310
51810|NONE|0|534318
51811|Accrued Interest|11|534323
51812|Inventory of items for resale|6887|534376
51813|Dues Receivable|1488565|534387
51814|Interest Receivable|193655|534387
51815|Flight Pay Loss Receivable|184930|534387
51816|Holding Company A/R/Prepaids/Deposits|143387|534387
51817|Prepaid Insurance|116789|534387
51818|Post Retirement Assets Held in Trust|29818|534387
51819|Suspended Furlough Loan Receivable|4741|534387
51820|Security Deposits|3763|534387
51821|Travel Advances|541|534387
51822|Allowance for Furlough Pilot Loan Fund|-899953|534387
51823|Allowance for Emergency Relief Fund|-23259|534387
51824|NONE|0|534392
51825|Prepaid Rent|800|534395
51826|Returned checks|1508|534396
51827|Architectural fees|33539|534396
51828|Escrow deposit|250000|534396
51829|INVENTORY OF BIBLES|3398|534409
51830|PREPAID INSURANCE|5774|534409
51831|RECEIVABLE FROM JATC (TRAINING PROGRAM)|17907|534409
51834|PREPAID INSURANCE|1590|534437
51835|ACCRUED INTEREST RECEIVABLE|676|534437
51836|Inventory|3616|534451
51837|NONE|0|534462
51838|Utility Deposit|599|534475
51839|Interest receivable|21718|534480
51840|Miscellaneous receivables|39377|534480
51841|RECEIVABLES|682|534490
51842|EXPENSE AND BENEFIT ADVANCES|8000|534490
51843|PREPAID RENT ESPANOLA|700|534490
51844|PREPAID RENT EUNICE|925|534490
51845|STATE OF OHIO WORKERS COMPENSATION PREMIUM DEPOSIT|147|534494
51846|NONE|0|534565
51847|NONE|0|534567
51848|NONE|0|534568
51849|Deposits|1978|534576
51850|EMPLOYEE AND EPEC ADVANCES|1154|534577
51851|WORKERS COMPENSATION DEPOSIT|181|534586
51853|Prepaid insurance|2400|534608
51854|RENT & UTILITY DEPOSITS|695|534609
51855|Apparel Inventory|1058|534612
51856|N/A|0|534613
51857|Prepaid Office Lease|21968|534614
51858|GP Stock|278|534614
51859|Union Register|982|534614
51861|INVENTORY - SUPPLIES FOR RESALE|10436|534625
51862|SECURITY DEPOSITS|700|534637
51863|PREPAID EXPENSES|6615|534637
51864|RETURNED CHECKS|146|534637
51865|ACCRUED INTEREST RECEIVABLE|14217|534637
51866|ACCRUED INTEREST RECEIVABLE|4652|534646
51867|PREPAYMENTS|3421|534646
52206|DUE FROM AFFILIATES|6097|535413
51869|PREPAID TAX|70|534657
51870|Stock|1|534659
51871|NONE|0|534660
51872|INVENTORY OF T-SHIRTS (ESTIMATED)|923|534662
51873|(The information on this page is for disclosure|0|534662
51874|purposes only.  It was not subjected to audit.)|0|534662
51875|N/A|0|534673
51876|Prepaid Insurance|2673|534681
51877|ACCRUED INTEREST RECEIVABLE|533068|534682
51878|PREPAYMENTS|216925|534682
51879|FUNDED STATUS OF PENSION PLAN|182406|534682
51880|Utility Deposits|842|534683
51881|Organization Cost|673|534683
51882|PREPAYMENTS|10721|534684
51883|ACCRUED INTEREST RECEIVABLE|5673|534684
51884|PREPAYMENTS|5233|534685
51885|ACCRUED INTEREST RECEIVABLE|8928|534685
51886|INVENTORY OF T-SHIRTS, MUGS, HATS, GLOVES|5397|534690
51887|(The information on this page is for disclosure|0|534690
51888|purposes only.  It was not subjected to audit.)|0|534690
51889|STOCK IN LABOR TEMPLE|100|534691
51890|CSV of Life Insurance Policy|17355|534698
51891|N/A|0|534701
51893|INVENTORY OF T-SHIRTS|704|534705
51894|NONE|0|534706
51895|Members' promotional items, sports tickets|22215|534707
51896|INVENTORY OF APPAREL FOR SALE (NOT AUDITED)|12557|534711
51897|INSTALLMENT SALE NOTE (SEE SCH 3 FOR COLLECTIONS)|111563|534711
51898|HAT AND SWEATSHIRT INVENTORY|10979|534717
51899|Not Applicable|0|534721
51900|Deposits|1000|534741
51901|Due from Affiliates|760|534741
51902|Prepaid Payroll Liabilities|28576|534741
51903|Prepaid Expenses|33035|534741
51904|PREPAID EXPENSES|80591|534753
51905|Lease Deposit|12000|534757
51906|INVENTORY OF APPAREL (ESTIMATED & NOT AUDITED)|18021|534760
51907|INVENTORY OF SUPPLIES|19787|534769
51908|UTILITY DEPOSIT|1550|534772
51909|Over/under|230|534777
51910|Inventory of hats 32 x 7.00 |224|534778
51911|NONE|0|534782
51912|DUE FROM AFFILIATED ORGANIZATION|101|534783
51913|ACCRUED INTEREST|1702|534783
51914|INVENTORY|3767|534787
51915|DEPOSITS|42|534789
51916|PREPAID PAYROLL TAXES|320|534789
51917|SECURITY DEPOSIT - OFFICE|1200|534791
51918|PAYROLL WITHHOLDINGS|746|534791
51919|Inventory of supplies (hats, T-shirts, etc) |67641|534796
51920|Supplies inventory|1240|534797
51921|Dues Receivable|2593|534797
51922|Supplies for resale|11932|534798
51923|INVENTORY OF HATS & T-SHIRTS|300|534800
51924|RENT DEPOSIT|1227|534809
51925|MEMBER OVER/UNDER PAYMENTS|3013|534813
51926|REIMBURSEMENT DUE FROM TRUST FUND|2051|534813
51927|RECEIVABLE - PAYROLL TAXES|610|534817
51928|NONE|0|534823
51929|NONE|0|534826
51930|Prepaid Expense|10253|534828
51931|Deferred Financing Cost , net of Accumulated Amort|4831|534828
51932|FUNDS IN ESCROW|3329|534829
51933|PREPAID EXPENSES|28074|534831
51934|ACCRUED INTEREST INCOME|468|534833
51935|PREPAID EXPENSES|20650|534833
51936|Prepaid Rent|9082|534834
51937|Prepaid Insurance|19060|534835
51938|Prepaid Taxes|2389|534835
51939|Interest Receivable|8541|534835
51940|PREPAID EXPENSES|158750|534837
51941|DUE FROM IUOE LOCAL 399 DEF COMP EMPL SAVINGS PLAN|7128|534837
51942|DUE FROM IUOE LOCAL 399 EDUCATIONAL TRAINING FUND|39972|534837
51943|OTHER RECEIVABLES|11228|534837
51944|IUOE INTERNATIONAL ORGANIZING GRANT RECEIVABLE|15512|534837
51945|PREPAID EXPENSES|1950|534838
51946|SECURITY DEPOSIT|1950|534838
51947|NONE|0|534839
51949|Inventory|5000|534852
51950|Mortgage Escrow|293|534852
51951|Due from Local 405 Affiliates|120364|534852
51952|Security Deposit|1100|534853
51953|INVESTMENT INCOME RECEIVABLE|26404|534858
51954|PREPAID EXPENSES|295|534858
51955|INVESTMENT MARKET VALUE ADJUSTMENT|365316|534858
51956|ACCRUED INTEREST|28864|534860
51957|PREPAID EXPENSES|133194|534860
51958|DEPOSITS|85174|534860
51959|Inventory|567|534862
51960|PROMOTIONAL MERCHANDISE ON HAND|1377|534864
51961|PREPAID EXPENSE|343923|534869
51962|SECURITY DEPOSIT|69549|534869
51963|IPACE|60|534869
51964|FLEXIBLE SPENDING|24339|534869
51965|PREPAID EXPENSES|2050|534874
51966|DEFERRED COMPENSATION|52657|534877
51967|NOTE RECEIVABLE|214331|534880
51968|INTEREST ON NOTE RECEIVABLE|14824|534880
51969|PREPAID EXPENSES|12129|534881
51970|INTEREST RECEIVABLE|7215|534881
51971|INVENTORY|787|534881
51972|SOFTWARE, NET OF ACCUM. AMORTIZATION|0|534881
51973|DEPOSITS|753|534881
51974|ESCROW ACCT FOR PPD ASSESSMENTS|25347|534881
51975|None|0|534882
51976|INVENTORY OF T-SHIRTS, HATS, BOTTLES (ESTIMATED)|8843|534883
51977|(The information on this page is for disclosure|0|534883
51978|purposes only.  It was not subjected to audit.)|0|534883
51979|RENTAL SECURITY DEPOSIT|2623|534884
51980|Prepaid insurance|335|534886
51981|PROMOTIONAL MERCHANDISE ON HAND|1980|534890
51982|PROMOTIONAL MERCHANDISE ON HAND|9499|534891
51983|Prepaid Insurance|3357|534892
51984|Deposits|1680|534897
51985|Security deposit|5703|534900
51986|Insurance Deposit|664|534902
51987|Prepaid Insurance|7546|534904
51988|Miscellaneous|200|534905
51989|Reimbursement due from Local 1506-shared employee|6273|534917
51990|Inventory|2805|534917
51991|Due from Local 350 Vacation Fund|120|534918
51992|PROMOTIONAL MERCHANDISE ON HAND|2106|534920
51993|Prepaid Expenses|299291|534923
51994|Rent and Utility Deposits|26077|534923
51996|EMPLOYEE FICA RECEIVABLE|27|534925
51997|Prepaids|6230|534944
51998|OVERPAYMENT OF WITHHELD PAYROLL TAXES|9|534945
51999|INVENTORY|2562|534945
52000|Security Deposit|6000|534946
52001|Prepaid Expenses|19458|534946
52002|Solidarity Exchange|50302|534946
52003|Disaster Relief Exchange|13405|534946
52004|Union products available for sale to members|37606|534948
52005|PREPAID INSURANCE |4231|534958
52006|UTILITY DEPOSITS|125|534962
52007|NEWSPAPER-THE LABOR TRIBUNE|7500|534963
52008|Prepaid Postage|28453|534967
52009|Prepaid Insurance|17297|534967
52010|Prepaid Rents/Deposits|54311|534967
52011|Prepaid Maintenance Agreements|35548|534967
52012|Travel Expense Advances|1615|534967
52013|T-Shirts|1500|534967
52014|DEFERRED COMPENSATION AGREEMENT|162578|534968
52015|DUE FROM OTHER - RENT|1342|534968
52016|Accrued Interest|5389|534969
52614|NONE|0|537051
52017|Security Deposits|7578|534969
52018|Prepaid Payroll Liabilities|668|534969
52019|Due from Annuity Fund|15968|534976
52020|DEPOSITS|1050|534977
52021|PREPAID PAYROLL WITHHOLDINGS|9004|534977
52022|PREPAID INSURANCE|8908|534978
52023|Loan Fee, net of amortization|3656|534980
52024|Security Deposits|4990|534980
52025|Prepaid Rent|4721|534984
52026|Prepaid Insurance|11483|534984
52027|Prepaid Expenses|996|534984
52028|Security Deposit - East Fishkill|38500|535003
52029|INVENTORY OF SUPPLIES FOR RESALE|2836|535006
52030|Security Deposits|3708|535013
52031|Prepaid Business Insurance|1815|535013
52032|T shirts and promo items|613|535018
52033|INVENTORY OF CLOTHING & APPAREL|15569|535028
52034|Utility Deposit|120|535048
52035|Security Deposit|1300|535051
52036|Security Deposit|1558|535052
52037|Restricted Cash - Locals 15 & 424 Job Target Fund|837884|535060
52038|NONE|0|535063
52039|PROMOTIONAL MERCHANDISE ON HAND|3653|535064
52040|PREPAID PAYROLL LIABILITIES|7681|535066
52041|DEPOSITS|254|535068
52042|PREPAID EXPENSES|211|535068
52043|RENT SECURITY DEPOSIT|3231|535071
52044|PROMOTIONAL MERCHANDISE ON HAND|7212|535072
52045|INVENTORY UNION PROMOTION ITEMS|13464|535077
52046|SUPPLIES INVENTORY|352|535078
52047|NONE|0|535079
52048|Inventory - Logo Merchandise|14253|535081
52050|DEFERRED COMPENSATION PLAN|94895|535086
52051|MERCHANDISE INVENTORY|13878|535086
52052|Security Deposit|2115|535093
52053|NONE|0|535094
52054|ACCRUED INTEREST|84218|535095
52055|PREPAID EXPENSES|139584|535095
52056|25 AND 50 YEAR PIN INVENTORY|12275|535095
52057|Prepaid Payroll Taxes|5887|535098
52058|DEPOSIT|2000|535115
52059|NONE|0|535124
52060|LAND BURIAL PLOT, @ COST|700|535137
52061|SECURITY DEPOSITS|2772|535137
52062|PREPAID EXPENSES|2579|535143
52063|Prepaid Insurance|16466|535146
52064|Other Current Assets|525|535146
52065|Overpaid Tax Withholdings|3727|535151
52066|PREPAID PAYROLL TAXES |7141|535153
52067|NONE|0|535157
52068|NONE|0|535159
52069|NONE|0|535162
52070|Prepaid Insurance|6096|535163
52071|None|0|535164
52072|Deposit|744|535167
52073|Inventory of logo merchandise for sale or donation|20547|535167
52074|PREPAID EXPENSES|41890|535170
52075|Accrued Interest|77698|535171
52076|Utility Deposits|595|535171
52077|Inventory|17470|535179
52078|NONE|0|535180
52079|Member underpayment|15152|535181
52080|Prepaid Insurance|3655|535183
52081|NONE|0|535185
52082|Prepaid Payroll Taxes|129|535188
52083|ACCRUED INTEREST RECEIVABLE|55584|535189
52084|ASSESSMENTS RECEIVABLE|24700|535189
52085|EXCHANGES|1740|535189
52086|DEPOSITS|10|535192
52087|INVENTORY|16800|535192
52088|ADVANCES|813|535192
52089|REFUNDABLE DEPOSITS|1369|535208
52090|DUE FROM AFFILIATES|30211|535208
52091|ADVANCED EXPENSES|14645|535208
52092|OTHER|3496|535208
52095|NONE|0|535212
52096|Deposit on Software System|3736|535227
52097|NONE|0|535229
52098|PREPAID EXPENSES|3455|535230
52099|Prepaid Insurance|3856|535232
52100|Inventory|13380|535232
52101|NONE|0|535236
52102|Deposit|50|535240
52103|NONE|0|535241
52104|Due from International Office|23230|535242
52105|Prepaid expenses|5278|535242
52106|NONE|0|535244
52107|Refundable rent deposit-Springfield MO office|800|535245
52108|UTILITY DEPOSITS|582|535247
52109|SECURITY DEPOSIT ON LEASE|550|535247
52110|REAL ESTATE CORP OF OPERATING ENGINEERS LOCAL 953|72575|535247
52111|NA|0|535249
52112|Deposits|950|535250
52113|Lease Security Deposit|417|535251
52114|INVENTORY|2531|535253
52115|NONE|0|535254
52116|INVENTORY OF PROMOTIONAL ITEMS|5856|535257
52117|SECURITY DEPOSIT|29977|535259
52118|PREPAID INSURANCE|12360|535259
52121|Deposits|1000|535265
52122|Security deposits|734|535266
52123|NOTE RECEIVABLE TOUCHSTONE STEWART BOREN|2250000|535267
52124|MISCELLANEOUS RECEIVABLE|425|535267
52125|Pre-paid payroll taxes|122|535269
52126|NONE|0|535270
52127|Prepaid Insurance|11926|535274
52128|DEFERRED COMPENSATION ANNUITY|1444599|535275
52129|SECURITY DEPOSITS|174135|535275
52130|PREPAID INSURANCE|19543|535275
52131|ALLOW FOR UNCOLLECTIBLE LOANS REPORTED IN SCH 2|-65000|535275
52132|Prepaid exoense|2914|535276
52133|Affiliate receivable|167448|535276
52134|CONSTRUCTION PERIOD INTEREST|1284|535277
52135|NONE|0|535278
52136|50% Ownership Share of UA 190/IBEW 252, LLC|1065723|535281
52137|LOAN FEES|1392|535282
52138|Due from Iron Workers Local 67 Apprenticeship Fund|14274|535285
52139|LETTER OF CREDIT|30885|535287
52140|UTILITY DEPOSITS|5408|535287
52141|Cash held in agency|15574|535288
52142|OVER/UNDER MEMBER PAYMENT OF MEMBERS DUE|8196|535291
52143|PREPAID INSURANCE|400692|535294
52144|PREPAID POSTAGE FOR MAILING NEWSPAPER|123010|535294
52145|PREPAID SUBSCRIPTIONS|148000|535294
52146|PREPAID COMPUTER SOFTWRE SUPPORT|43052|535294
52147|DEPOSIT FOR 2016 CONVENTION|7500|535294
52148|POSTAGE DEPOSIT|8000|535294
52149|PREPAID COSTS FOR HOMES FOR RELOCATION|1406|535294
52150|INVENTORY OF LOCAL UNION AND OFFICE SUPPLIES|667683|535294
