OID|RECEIPT_TYPE|PURPOSE|DATE|AMOUNT|PAYER_PAYEE_ID|RPT_ID
382649|1201|Credit Card Royalties|2012-07-03|15512|1370660|529342
382650|1201|Credit Card Royalties|2012-07-31|15504|1370660|529342
382651|1201|Credit Card Royalties|2012-09-10|15456|1370660|529342
382652|1201|Credit Card Royalties|2012-10-10|15380|1370660|529342
382653|1201|Credit Card Royalties|2012-11-07|15422|1370660|529342
382654|1201|Credit Card Royalties|2012-12-11|15359|1370660|529342
382655|1201|Credit Card Royalties|2012-12-21|66266|1370660|529342
382656|1201|Credit Card Royalties|2013-01-03|15381|1370660|529342
382657|1201|Credit Card Royalties|2013-02-05|15416|1370660|529342
382658|1201|Receipts on Behalf of Pension|2012-03-02|46530|1370661|529342
382659|1201|Receipts on Behalf of Pension|2012-03-06|14711|1370661|529342
382660|1201|Receipts on Behalf of Pension|2012-03-09|76573|1370661|529342
382661|1201|Receipts on Behalf of Pension|2012-03-12|7871|1370661|529342
382662|1201|Receipts on Behalf of Pension|2012-03-13|9232|1370661|529342
382663|1201|Receipts on Behalf of Pension|2012-03-15|5020|1370661|529342
382664|1201|Receipts on Behalf of Pension|2012-03-23|33141|1370661|529342
382665|1201|Reimbursement Salaries and Benefits|2012-03-27|13216|1370661|529342
382666|1201|Receipts on Behalf of Pension|2012-03-27|10211|1370661|529342
382667|1201|Receipts on Behalf of Pension|2012-04-05|25437|1370661|529342
382668|1201|Receipts on Behalf of Pension|2012-04-10|31283|1370661|529342
382669|1201|Receipts on Behalf of Pension|2012-04-13|13393|1370661|529342
382670|1201|Receipts on Behalf of Pension|2012-04-16|29253|1370661|529342
382671|1201|Receipts on Behalf of Pension|2012-04-24|14102|1370661|529342
382672|1201|Receipts on Behalf of Pension|2012-04-25|10211|1370661|529342
382673|1201|Receipts on Behalf of Pension|2012-04-30|53582|1370661|529342
382674|1201|Receipts on Behalf of Pension|2012-05-04|24407|1370661|529342
382675|1201|Receipts on Behalf of Pension|2012-05-07|27462|1370661|529342
382676|1201|Receipts on Behalf of Pension|2012-05-09|23064|1370661|529342
382677|1201|Receipts on Behalf of Pension|2012-05-15|15610|1370661|529342
382678|1201|Receipts on Behalf of Pension|2012-05-23|16951|1370661|529342
382679|1201|Receipts on Behalf of Pension|2012-05-29|5209|1370661|529342
382680|1201|Receipts on Behalf of Pension|2012-05-30|8262|1370661|529342
382681|1201|Receipts on Behalf of Pension|2012-05-31|13607|1370661|529342
382682|1201|Reimbursement Salaries and Benefits|2012-06-04|27933|1370661|529342
382683|1201|Receipts on Behalf of Pension|2012-06-04|55910|1370661|529342
382684|1201|Receipts on Behalf of Pension|2012-06-06|10297|1370661|529342
382685|1201|Receipts on Behalf of Pension|2012-08-08|15780|1370661|529342
382686|1201|Receipts on Behalf of Pension|2012-08-08|26160|1370661|529342
382687|1201|Receipts on Behalf of Pension|2012-08-13|8467|1370661|529342
382688|1201|Receipts on Behalf of Pension|2012-08-14|23459|1370661|529342
382689|1201|Receipts on Behalf of Pension|2012-08-14|10211|1370661|529342
382690|1201|Receipts on Behalf of Pension|2012-08-20|11299|1370661|529342
382691|1201|Receipts on Behalf of Pension|2012-08-20|5172|1370661|529342
382692|1201|Receipts on Behalf of Pension|2012-08-21|7353|1370661|529342
382693|1201|Receipts on Behalf of Pension|2012-08-22|80286|1370661|529342
382694|1201|Receipts on Behalf of Pension|2012-09-05|32625|1370661|529342
382695|1201|Receipts on Behalf of Pension|2012-09-06|10627|1370661|529342
382696|1201|Receipts on Behalf of Pension|2012-09-10|10211|1370661|529342
382697|1201|Receipts on Behalf of Pension|2012-09-11|9266|1370661|529342
382698|1201|Receipts on Behalf of Pension|2012-09-13|16675|1370661|529342
382699|1201|Receipts on Behalf of Pension|2012-09-13|68648|1370661|529342
382700|1201|Receipts on Behalf of Pension|2012-09-21|8675|1370661|529342
382701|1201|Receipts on Behalf of Pension|2012-09-24|37649|1370661|529342
382702|1201|Receipts on Behalf of Pension|2012-10-03|22631|1370661|529342
382703|1201|Receipts on Behalf of Pension|2012-10-10|18009|1370661|529342
382704|1201|Receipts on Behalf of Pension|2012-10-10|24250|1370661|529342
382705|1201|Receipts on Behalf of Pension|2012-10-16|70112|1370661|529342
382706|1201|Receipts on Behalf of Pension|2012-10-19|5572|1370661|529342
382707|1201|Receipts on Behalf of Pension|2012-11-05|21546|1370661|529342
382708|1201|Receipts on Behalf of Pension|2012-06-08|15316|1370661|529342
382709|1201|Receipts on Behalf of Pension|2012-06-12|44432|1370661|529342
382710|1201|Receipts on Behalf of Pension|2012-06-15|5409|1370661|529342
382711|1201|Receipts on Behalf of Pension|2012-07-03|27788|1370661|529342
382712|1201|Receipts on Behalf of Pension|2012-07-10|18959|1370661|529342
382713|1201|Receipts on Behalf of Pension|2012-07-10|8019|1370661|529342
382714|1201|Receipts on Behalf of Pension|2012-07-17|15491|1370661|529342
382715|1201|Receipts on Behalf of Pension|2012-07-18|34467|1370661|529342
382716|1201|Receipts on Behalf of Pension|2012-07-24|125279|1370661|529342
382717|1201|Reimbursement Salaries and Benefits|2012-07-25|21249|1370661|529342
382718|1201|Receipts on Behalf of Pension|2012-07-25|13419|1370661|529342
382719|1201|Receipts on Behalf of Pension|2012-08-01|8870|1370661|529342
382720|1201|Receipts on Behalf of Pension|2012-11-07|41750|1370661|529342
382721|1201|Receipts on Behalf of Pension|2012-11-13|10627|1370661|529342
382722|1201|Receipts on Behalf of Pension|2012-11-15|91656|1370661|529342
382723|1201|Receipts on Behalf of Pension|2012-11-16|5172|1370661|529342
382724|1201|Receipts on Behalf of Pension|2012-11-19|10600|1370661|529342
382725|1201|Reimbursement Salaries and Benefits|2012-11-21|18375|1370661|529342
382726|1201|Receipts on Behalf of Pension|2012-11-29|32515|1370661|529342
382727|1201|Receipts on Behalf of Pension|2012-12-06|20222|1370661|529342
382728|1201|Receipts on Behalf of Pension|2012-12-07|8502|1370661|529342
382729|1201|Receipts on Behalf of Pension|2012-12-10|86861|1370661|529342
382730|1201|Receipts on Behalf of Pension|2012-12-12|12431|1370661|529342
382731|1201|Receipts on Behalf of Pension|2012-12-18|8759|1370661|529342
382732|1201|Receipts on Behalf of Pension|2012-12-18|21781|1370661|529342
382733|1201|Receipts on Behalf of Pension|2013-01-03|5445|1370661|529342
382734|1201|Receipts on Behalf of Pension|2013-01-07|17471|1370661|529342
382735|1201|Receipts on Behalf of Pension|2013-01-07|15903|1370661|529342
382736|1201|Receipts on Behalf of Pension|2013-01-09|32319|1370661|529342
382737|1201|Receipts on Behalf of Pension|2013-01-10|10452|1370661|529342
382738|1201|Receipts on Behalf of Pension|2013-01-10|10296|1370661|529342
382739|1201|Receipts on Behalf of Pension|2013-01-29|6526|1370661|529342
382740|1201|Receipts on Behalf of Pension|2013-02-05|7749|1370661|529342
382741|1201|Receipts on Behalf of Pension|2013-02-08|12367|1370661|529342
382742|1201|Receipts on Behalf of Pension|2013-02-12|21629|1370661|529342
382743|1201|Receipts on Behalf of Pension|2013-02-12|84921|1370661|529342
382744|1201|Receipts on Behalf of Pension|2013-02-19|5172|1370661|529342
382745|1201|Reimbursement Salaries and Benefits|2013-02-25|21059|1370661|529342
382746|1201|Receipts on Behalf of Pension|2013-01-16|24252|1370661|529342
382747|1201|Receipts on Behalf of Pension|2013-01-18|7453|1370661|529342
382748|1201|Receipts on Behalf of Pension|2013-01-23|75895|1370661|529342
382749|1201|Reimbursement Office Renovations|2013-02-28|16596|1370665|529342
382750|1201|Reimbursement Salaries and Benefits|2012-09-25|6000|1370666|529342
382751|1201|Reimbursement Salaries and Benefits|2012-10-24|6000|1370666|529342
382752|1201|Reimbursement Salaries and Benefits|2012-11-21|6000|1370666|529342
382753|1201|Reimbursement Salaries and Benefits|2012-12-26|6000|1370666|529342
382754|1201|Reimbursement Salaries and Benefits|2013-01-29|6000|1370666|529342
382755|1201|Reimbursement Salaries and Benefits|2012-05-30|6000|1370666|529342
382756|1201|Reimbursement Salaries and Benefits|2012-06-28|6000|1370666|529342
382757|1201|Reimbursement Salaries and Benefits|2012-07-17|6000|1370666|529342
382758|1201|Reimbursement Salaries and Benefits|2012-08-31|6000|1370666|529342
382759|1201|Union Privilege Royalties|2012-04-16|55258|1370667|529342
382834|1201|VOID PAYMENT DISBURSED 6/19/12-ROYALTIES|2012-11-09|62789|1370875|529392
382760|1201|VOID PAYMENT DISBURSED 8/29/12-ROYALTIES|2012-11-30|19905|1370808|529392
382761|1201|PRIOR PERIOD VOID PAYMENT|2012-05-31|19400|1370808|529392
382762|1201|VOID PAYMENT DISBURSED 10/2/12-ROYALTIES|2012-10-10|8800|1370809|529392
382763|1201|VOID PAYMENT DISBURSED 9/7/12-ROYALTIES|2012-12-31|8800|1370810|529392
382764|1201|VOID PAYMENT DISBURSED 10/2/12-ROYALTIES|2012-10-02|8800|1370811|529392
382765|1201|VOID PAYMENT DISBURSED 10/2/12-ROYALTIES|2012-10-11|8800|1370812|529392
382766|1201|VOID PAYMENT DISBURSED 9/7/12-ROYALTIES|2012-11-26|8800|1370813|529392
382767|1201|VOID PAYMENT DISBURSED 5/4/12-PLAYER MARKETING|2012-05-31|10000|1370814|529392
382768|1201|VOID PAYMENT DISBURSED 10/2/12-ROYALTIES|2012-10-04|8800|1370815|529392
382769|1201|VOID PAYMENT DISBURSED 10/2/12-ROYALTIES|2012-10-04|8800|1370816|529392
382770|1201|VOID PAYMENT DISBURSED 9/7/12-ROYALTIES|2012-10-11|8800|1370817|529392
382771|1201|VOID PAYMENT DISBURSED 9/7/12-ROYALTIES|2012-10-11|8800|1370818|529392
382772|1201|VOID PAYMENT DISBURSED 9/27/12-ROYALTIES|2012-10-10|8800|1370819|529392
382773|1201|VOID PAYMENT DISBURSED 9/20/12-ROYALTIES|2012-10-10|8800|1370820|529392
382774|1201|VOID PAYMENT DISBURSED 11/28/12-PLAYER MARKETING|2012-12-11|20000|1370822|529392
382775|1201|VOID PAYMENT DISBURSED 10/2/12-ROYALTIES|2013-01-10|8800|1370822|529392
382776|1201|PRIOR PERIOD VOID PAYMENT|2012-05-31|75000|1370823|529392
382777|1201|VOID PAYMENT DISBURSED 3/12/12-PLAYER MARKETING|2012-04-05|80000|1370824|529392
382778|1201|VOID PAYMENT DISBURSED 3/12/12-PLAYER MARKETING|2012-06-07|20000|1370825|529392
382779|1201|VOID PAYMENT DISBUSRED 6/28/12-PLAYER MARKETING|2012-07-16|25000|1370826|529392
382780|1201|PRIOR PERIOD VOID PAYMENT|2012-04-10|17500|1370827|529392
382781|1201|VOID PAYMENT DISBURSED 3/12/12-PLAYER MARKETING|2012-04-19|10000|1370828|529392
382782|1201|VOID PAYMENT DISBURSED DISBURSED 5/4/12|2012-05-09|12500|1370829|529392
382783|1201|VOID PAYMENT DISBURSED 9/6/12-ROYALTIES|2012-09-06|19942|1370830|529392
382784|1201|VOID PAYMENT DISBURSED 5/23/12-PLAYER MARKETING|2012-11-09|6000|1370831|529392
382785|1201|PRIOR PERIOD VOID PAYMENT|2012-05-31|5000|1370831|529392
382786|1201|VOID PAYMENT DISBURSED 10/1/12-PLAYER MAREKTING|2012-10-22|6000|1370832|529392
382787|1201|VOID PAYMENT DISBURSED DISBURSED 2/19/13|2013-02-25|10000|1370833|529392
382788|1201|VOID PAYMENT DISBURSED 3/12/12-PLAYER MARKETING|2012-03-30|10000|1370834|529392
382789|1201|PRIOR PERIOD VOID PAYMENT|2012-05-31|32500|1370835|529392
382790|1201|VOID PAYMENT DISBURSED 9/7/12-ROYALTIES|2012-10-10|8800|1370836|529392
382791|1201|VOID PAYMENT DISBURSED 10/2/12-ROYALTIES|2012-12-31|8800|1370837|529392
382792|1201|VOID PAYMENT DISBURSED 10/2/12-ROYALTIES|2012-10-10|8800|1370838|529392
382793|1201|VOID PAYMENT DISBURSED 10/16/12-ROYALTIES|2012-10-04|8800|1370839|529392
382794|1201|VOID PAYMENT DISBURSED 3/8/12-PLAYER MARKETING|2012-03-30|70000|1370840|529392
382795|1201|PRIOR PERIOD VOID PAYMENT|2012-05-31|25388|1370841|529392
382796|1201|VOID PAYMENT DISBURSED 10/2/12-ROYALTIES|2012-10-10|8800|1370842|529392
382797|1201|VOID PAYMENT DISBURSED 6/14/12-ROYALTIES|2012-06-19|7104|1370843|529392
382798|1201|VOID PAYMENT DISBURSED 1/30/13-ROYALTIES|2013-02-01|5599|1370843|529392
382799|1201|VOID PAYMENT DISBURSED 10/2/12-ROYALTIES|2012-10-24|8800|1370844|529392
382800|1201|VOID PAYMENT DISBURSED 2/15/13-PLAYER MARKETING|2013-02-21|5000|1370845|529392
382801|1201|VOID PAYMENT DISBURSED 11/15/12-ROYALTIES|2012-12-31|8800|1370846|529392
382802|1201|VOID PAYMENT DISBURSED 10/2/12-ROYALTIES|2012-10-04|8800|1370847|529392
382803|1201|VOID PAYMENT DISBURSED 9/13/12-ROYALTIES|2012-10-11|8800|1370848|529392
382804|1201|VOID PAYMENT DISBURSED 10/2/12-ROYALTIES|2012-10-11|8800|1370849|529392
382805|1201|VOID PAYMENT DISBURSED 9/13/12-ROYALTIES|2012-10-10|8800|1370850|529392
382806|1201|VOID PAYMENT DISBURSED 10/2/12-ROYALTIES|2012-10-10|8800|1370851|529392
382807|1201|VOID PAYMENT DISBURSED 10/2/12-ROYALTIES|2012-10-10|8800|1370852|529392
382808|1201|PRIOR PERIOD VOID PAYMENT DISBURSED|2012-05-31|13600|1370853|529392
382809|1201|VOID PAYMENT DISBURSED 11/16/12-ROYALTIES|2012-11-23|8846|1370854|529392
382810|1201|VOID PAYMENT DISBURSED 3/12/12-PLAYER MARKETING|2012-04-19|20000|1370855|529392
382811|1201|VOID PAYMENT DISBURSED 3/12/12-PLAYER MARKETING|2012-05-09|7500|1370855|529392
382812|1201|VOID PAYMENT DISBURSED 6/19/12-ROYALTIES|2012-11-09|16420|1370856|529392
382813|1201|VOID PAYMENT DISBURSED 11/19/12-ROYALTIES|2012-12-20|16414|1370856|529392
382814|1201|PRIOR PERIOD VOID PAYMENT|2012-05-31|16030|1370856|529392
382815|1201|VOID PAYMENT DISBURSED 10/2/12-ROYALTIES|2012-10-10|8800|1370857|529392
382816|1201|VOID PAYMENT DISBURSED 6/14/12-ROYALTIES|2012-06-19|20679|1370858|529392
382817|1201|VOID PAYMENT 8/29/12-ROYALTIES|2012-12-31|8018|1370858|529392
382818|1201|VOID PAYMENT DISBURSED 9/13/12-ROYALTIES|2012-10-04|8800|1370859|529392
382819|1201|VOID PAYMENT DISBURSED 10/2/12-ROYALTIES|2013-01-18|8800|1370860|529392
382820|1201|PRIOR PERIOD VOID PAYMENT|2012-05-31|6750|1370861|529392
382821|1201|VOID PAYMENT DISBURSED 7/12/12|2012-07-17|10000|1370862|529392
382822|1201|VOID PAYMENT DISBURSED 9/7/12-ROYALTIES|2012-12-20|8800|1370863|529392
382823|1201|VOID PAYMENT DISBURSED 10/2/12-ROYALTIES|2012-10-10|8800|1370864|529392
382824|1201|VOID PAYMENT DISBURSED 9/13/12-ROYALTIES|2012-10-11|8800|1370865|529392
382825|1201|VOID PAYMENT DISBURSED 10/2/12-ROYALTIES|2012-10-11|8800|1370866|529392
382826|1201|VOID PAYMENT DISBURSED 10/25/12-ROYALTIES|2012-10-11|8800|1370867|529392
382827|1201|VOID PAYMENT DISBURSED 11/14/12-ROYALTIES|2012-11-19|6053|1370868|529392
382828|1201|VOID PAYMENT DISBURSED 10/25/12-ROYALTIES|2012-10-11|8800|1370869|529392
382829|1201|VOID PAYMENT DISBURSED 10/2/12-ROYALTIES|2012-12-31|8800|1370870|529392
382830|1201|VOID PAYMENT DISBURSED 10/2/12-ROYALTIES|2012-10-19|8800|1370871|529392
382831|1201|VOID PAYMENT DISBURSED 10/2/12-ROYALTIES|2012-10-04|8800|1370872|529392
382832|1201|VOID PAYMENT DISBURSED 10/2/12-ROYALTIES|2012-10-10|8800|1370873|529392
382833|1201|VOID PAYMENT DISBURSED 10/2/12-ROYALTIES|2012-10-04|8800|1370874|529392
383077|1201|SUPER BOWL PACKAGE|2013-02-26|34000|1371043|529392
382835|1201|VOID PAYMENT DISBURSED 10/2/12-ROYALTIES|2012-10-11|8800|1370877|529392
382836|1201|VOID PAYMENT DISBURSED 6/19/12-ROYALTIES|2012-11-09|7022|1370878|529392
382837|1201|VOID PAYMENT DISBURSED 10/2/12-ROYALTIES|2012-12-20|8800|1370879|529392
382838|1201|VOID PAYMENT DISBURSED 7/6/12-PLAYER MARKETING|2012-07-11|5000|1370880|529392
382839|1201|VOID PAYMENT DISBURSED 10/2/12-ROYALTIES|2012-11-08|8800|1370881|529392
382840|1201|VOID PAYMENT DISBURSED 10/2/12-ROYALTIES|2012-12-20|8800|1370882|529392
382841|1201|VOID PAYMENT DISBURSED 10/2/12-ROYALTIES|2012-10-02|8800|1370883|529392
382842|1201|VOID PAYMENT DISBURSED 10/2/12-ROYALTIES|2013-01-29|8800|1370884|529392
382843|1201|VOID PAYMENT DISBURSED 9/20/12-ROYALTIES|2012-12-20|8800|1370885|529392
382844|1201|VOID PAYMENT DISBURSED 11/15/12-ROYALTIES|2012-10-04|8800|1370886|529392
382845|1201|PRIOR PERIOD VOID PAYMENT|2012-05-31|5000|1370887|529392
382846|1201|VOID PAYMENT DISBURSED 10/2/12-ROYALTIES|2012-10-11|8800|1370888|529392
382847|1201|VOID PAYMENT DISBURSED 10/2/12-ROYALTIES|2012-12-31|8800|1370889|529392
382848|1201|VOID PAYMENT DISBURSED 10/2/12-ROYALTIES|2012-10-11|8800|1370890|529392
382849|1201|VOID PAYMENT DISBURSED 9/27/12-ROYALTIES|2012-10-11|8800|1370891|529392
382850|1201|VOID PAYMENT DISBURSED 9/27/12-ROYALTIES|2013-01-11|8800|1370892|529392
382851|1201|VOID PAYMENT DISBURSED 10/2/12-ROYALTIES|2012-10-09|8800|1370893|529392
382852|1201|VOID PAYMENT DISBURSED 10/2/12-ROYALTIES|2012-10-02|8800|1370894|529392
382853|1201|VOID PAYMENT DISBURSED 10/2/12-ROYALTIES|2012-12-31|8800|1370895|529392
382854|1201|VOID PAYMENT DISBURSED 10/2/12-ROYALTIES|2012-10-02|8800|1370896|529392
382855|1201|VOID PAYMENT DISBURSED 9/7/12-ROYALTIES|2012-10-09|8800|1370897|529392
382856|1201|VOID PAYMENT DISBURSED 10/2/12-ROYALTIES|2012-10-11|8800|1370898|529392
382857|1201|VOID PAYMENT DISBURSED 10/2/12-ROYALTIES|2012-10-04|8800|1370899|529392
382858|1201|VOID PAYMENT DISBURSED 10/2/12-ROYALTIES|2012-10-04|8800|1370900|529392
382859|1201|VOID PAYMENT DISBURSED 10/2/12-ROYALTIES|2012-10-11|8800|1370901|529392
382860|1201|VOID PAYMENT DISBURSED 10/2/12-ROYALTIES|2012-10-04|8800|1370902|529392
382861|1201|PRIOR PERIOD VOID PAYMENT|2012-05-31|31916|1370903|529392
382862|1201|PRIOR PERIOD VOID PAYMENT|2012-05-31|5000|1370903|529392
382863|1201|VOID PAYMENT DISBURSED 9/7/12-ROYALTIES|2012-10-11|8800|1370904|529392
382864|1201|VOID PAYMENT DISBURSED 10/2/12-ROYALTIES|2012-10-04|8800|1370905|529392
382865|1201|VOID PAYMENT DISBURSED 10/2/12-ROYALTIES|2012-10-24|8800|1370905|529392
382866|1201|VOID PAYMENT DISBURSED 9/7/12-ROYALTIES|2012-10-11|8800|1370906|529392
382867|1201|VOID PAYMENT DISBURSED 10/2/12-ROYALTIES|2012-10-04|8800|1370907|529392
382868|1201|VOID PAYMENT DISBURSED 10/2/12-ROYALTIES|2012-10-10|8800|1370907|529392
382869|1201|VOID PAYMENT DISBURSED 10/2/12-ROYALTIES|2012-10-11|8800|1370908|529392
382870|1201|VOID PAYMENT DISBURSED 10/2/12-ROYALTIES|2012-10-04|8800|1370909|529392
382871|1201|VOID PAYMENT DISBURSED 9/20/12-ROYALTIES|2012-12-31|8800|1370910|529392
382872|1201|VOID PAYMENT DISBURSED 9/20/12-ROYALTIES|2012-10-11|8800|1370911|529392
382873|1201|VOID PAYMENT DISBURSED 10/2/12-ROYALTIES|2012-10-04|8800|1370912|529392
382874|1201|VOID CHECK- DUES LOCKOUT FUND|2012-11-29|50000|1370913|529392
382875|1201|VOID PAYMENT DISBURSED 10/2/12-ROYALTIES|2012-11-29|8800|1370913|529392
382876|1201|VOID PAYMENT DISBURSED 10/2/12-ROYALTIES|2012-10-04|8800|1370914|529392
382877|1201|VOID PAYMENT DISBURSED 10/2/12-ROYALTIES|2012-10-10|8800|1370915|529392
382878|1201|VOID PAYMENT DISBURSED 10/2/12-ROYALTIES|2012-10-09|8800|1370916|529392
382879|1201|VOID PAYMENT DISBURSED 12/13/12-ROYALTIES|2012-10-11|8800|1370917|529392
382880|1201|VOID PAYMENT DISBURSED 9/13/12-ROYALTIES|2012-10-10|8800|1370918|529392
382881|1201|VOID PAYMENT DISBURSED 10/2/12-ROYALTIES|2012-10-10|8800|1370919|529392
382882|1201|VOID PAYMENT DISBURSED 10/2/12-ROYALTIES|2012-10-11|8800|1370920|529392
382883|1201|VOID PAYMENT DISBURSED 9/13/12-ROYALTIES|2012-10-10|8800|1370921|529392
382884|1201|VOID PAYMENT DISBURSED 10/18/12-ROYALTIES|2012-10-04|8800|1370922|529392
382885|1201|VOID CHECK- DUES LOCKOUT FUND|2012-05-31|23522|1370923|529392
382886|1201|VOID PAYMENT DISBURSED 6/19/12-ROYALTIES|2012-11-09|84478|1370924|529392
382887|1201|VOID PAYMENT DISBURSED 11/2/12-ROYALTIES|2012-10-11|8800|1370925|529392
382888|1201|VOID PAYMENT DISBURSED 10/2/12-ROYALTIES|2012-12-31|8800|1370926|529392
382889|1201|VOID PAYMENT DISBURSED 3/12/12-PLAYER MARKETING|2012-04-04|10000|1370927|529392
382890|1201|VOID PAYMENT DISBURSED 10/2/12-ROYALTIES|2012-12-31|8800|1370928|529392
382891|1201|VOID PAYMENT DISBURSED 10/2/12-ROYALTIES|2012-10-02|8800|1370929|529392
382892|1201|VOID PAYMENT DISBURSED 10/2/12-ROYALTIES|2012-10-11|8800|1370930|529392
382893|1201|VOID PAYMENT DISBURSED 10/2/12-ROYALTIES|2012-10-11|8800|1370931|529392
382894|1201|VOID PAYMENT DISBURSED 10/2/12-ROYALTIES|2012-12-20|8800|1370932|529392
382895|1201|VOID PAYMENT DISBURSED 9/27/12-ROYALTIES|2012-11-30|8800|1370933|529392
382896|1201|VOID PAYMENT DISBURSED 10/2/12-ROYALTIES|2012-10-11|8800|1370934|529392
382897|1201|VOID PAYMENT DISBURSED 10/2/12-ROYALTIES|2012-12-20|8800|1370935|529392
382898|1201|VOID PAYMENT DISBURSED 3/12/12-PLAYER MARKETING|2012-03-15|5000|1370936|529392
382899|1201|VOID PAYMENT DISBURSED 9/13/12-ROYALTIES|2012-10-04|8800|1370937|529392
382900|1201|VOID PAYMENT 8/29/12-ROYALTIES|2012-11-09|10963|1370938|529392
382901|1201|VOID PAYMENT DISBURSED 11/14/12|2012-11-15|14195|1370939|529392
382902|1201|VOID PAYMENT DISBURSEMENT 7/17/12-ROYALTIES|2012-11-09|6538|1370940|529392
382903|1201|VOID PAYMENT DISBURSED 6/14/12-ROYALTIES|2012-06-19|6452|1370940|529392
382904|1201|VOID PAYMENT DISBURSED 4/24/12-PLAYER MARKETING|2012-10-10|6000|1370941|529392
382905|1201|VOID PAYMENT DISBURSED 10/16/12-ROYALTIES|2012-11-01|8800|1370942|529392
382906|1201|VOID PAYMENT DISBURSED 11/8/12-ROYALTIES|2012-12-20|8800|1370943|529392
382907|1201|VOID PAYMENT DISBURSED 10/2/12-ROYALTIES|2012-12-20|8800|1370944|529392
382908|1201|VOID PAYMENT DISBURSED 10/2/12-ROYALTIES|2013-01-29|8800|1370945|529392
382909|1201|VOID PAYMENT DISBURSED 4/30/12-PLAYER MARKETING|2012-05-11|5000|1370946|529392
382910|1201|VOID PAYMENT DISBURSED 11/19/12-PLAYER MARKETING|2013-01-29|18960|1370947|529392
382911|1201|VOID PAYMENT DISBURSED 10/2/12-ROYALTIES|2012-11-16|8800|1370948|529392
382912|1201|VOID PAYMENT DISBURSED 10/2/12-PLAYER MARKETING|2012-07-25|8205|1370949|529392
382913|1201|VOID PAYMENT DISBURSED 4/24/12-PLAYER MARKETING|2012-09-25|11000|1370950|529392
382914|1201|VOID PAYMENT DISBURSED 4/30/12-PLAYER MARKETING|2012-11-06|5000|1370951|529392
382915|1201|VOID PAYMENT DISBURSED 5/11/12-PLAYER MARKETING|2012-07-18|10000|1370952|529392
382916|1201|VOID PAYMENT DISBURSED 4/19/12-PLAYER MARKETING|2012-11-06|5000|1370952|529392
382917|1201|VOID PAYMENT DISBURSED 5/11/12-PLAYER MARKETING|2012-11-09|5000|1370953|529392
