OID|MEMBERSHIP_TYPE|CATEGORY|NUMBER|VOTING_ELIGIBILITY|RPT_ID
171956|2101|CLERK- R 11, W11|2|F|530078
171957|2102||0|F|530078
171958|2101|Career Employees|953|T|530087
171959|2101|Postal Support Employees|58|T|530087
171960|2101|Retirees|468|F|530087
171961|2102||0|F|530087
171962|2101|BUILDING TRADES JOURNEYMEN|811|T|530106
171963|2101|RESIDENTIAL JOURNEYMEN|31|T|530106
171964|2101|CLASSIFIED JOURNEYMEN|26|T|530106
171965|2101|PRODUCTION JOURNEYMEN|62|T|530106
171966|2101|APPRENTICES|159|T|530106
171967|2101|PRE-APPRENTICES|19|T|530106
171968|2101|RETIREES/DISABLED|209|T|530106
171969|2102||25|F|530106
171970|2101|Active membership|14212|T|530111
171971|2101|Inactive membership|1153|T|530111
171972|2102||11|F|530111
171973|2101|ACTIVE|334|T|530114
171974|2101|BA MEMBERSHIP|706|T|530123
171975|2102||0|F|530123
171981|2101|BRICKLAYERS|1297|T|530169
171982|2101|CEMENT MASONS|172|T|530169
171983|2101|POINTER, CLEANERS AND CAULKER|252|T|530169
171984|2101|TILE, MARBLE AND TERRAZZO|478|T|530169
171997|2101|MANUFACTURING/SERVICE WORKERS|6345|T|530200
171998|2101|AUTOMOTIVE SALES AND SERVICE WORKERS|408|T|530201
171999|2101|ACTIVE MEMBER|7243|T|530211
172000|2101|RETIRED MEMBER|15|F|530211
172001|2101|UNEMPLOYED MEMBER|0|F|530211
172002|2101|LIFE MEMBER|687|F|530211
172003|2101|OFFICIAL MEMBER|437|F|530211
172004|2102||3|F|530211
172028|2101|Local Union Members|12|T|530245
172030|2101|REGULAR MEMBERS|859|T|530265
172031|2101|EXECUTIVE BOARD,  TRUSTEES, OFFICERS|18|T|530265
172032|2102||0|F|530265
172033|2101|JOURNEYMEN INSIDE WIREMAN|686|T|530276
172034|2101|APPRENTICE WIREMAN|62|T|530276
172035|2101|RESIDENTIAL|16|T|530276
172036|2101|LIMITED ENERGY WIREMAN (TECHNICIANS & INSTALLERS)|72|T|530276
172037|2102||0|F|530276
172040|2101|Active|2630|T|530281
172041|2102||0|F|530281
172049|2101|REGULAR MEMBERS|2272|T|530301
172050|2102||256|F|530301
172051|2101|Full dues paying members|680|T|530303
172052|2101|active members|530|T|530311
172053|2101|retired  does not vote|16|F|530311
172054|2102||30|F|530311
172063|2101|HAND DUES|1160|T|530365
172064|2101|CHECK OFF MEMBERS|2|T|530365
172065|2102||0|F|530365
172066|2101|GENERAL MEMBERS IN PLUMBING AND PIPEFITTING TRADE|7430|T|530370
172067|2101|Michigan State Utility Workers Council|3420|T|530371
172068|2101|Regular Members|0|T|530374
172069|2102||0|F|530374
172070|2101|Life 21.25|153|T|530377
172071|2101|Regular 37.50|590|T|530377
172072|2101|Life 32.50|2|T|530377
172073|2101|Regular 35.00|87|T|530377
172074|2101|Student|5|T|530377
172075|2101|Youth|1|T|530377
172076|2101|Regular 32.50|14|T|530377
172077|2101|Life 35.00|69|T|530377
172078|2102||0|F|530377
172079|2101|JOURNEYMAN|284|T|530378
172080|2101|APPRENTICES|19|T|530378
172081|2101|OILERS|10|T|530378
172082|2101|RETIREEES|60|T|530378
172083|2101|ACTIVE MEMBER|30219|T|530379
172084|2101|RETIRED MEMBER|245|F|530379
172085|2101|UNEMPLOYED MEMBER|218|F|530379
172086|2101|LIFE MEMBER|3301|F|530379
172087|2101|OFFICIAL MEMBER|1852|F|530379
172088|2102||4|F|530379
172089|2101|ACTIVE MEMBER|4854|T|530380
172090|2101|RETIRED MEMBER|40|F|530380
172091|2101|UNEMPLOYED MEMBER|0|F|530380
172092|2101|LIFE MEMBER|406|F|530380
172093|2101|OFFICIAL MEMBER|447|F|530380
172094|2102||0|F|530380
172098|2101|JOURNEYMEN|1146|T|530386
172099|2101|APPRENTICES|105|T|530386
172100|2101|RETIREES|163|T|530386
172101|2102||149|F|530386
172102|2101|Lower Hudson Region - Category C|3|T|530394
172103|2101|Central Region - Category B|4|T|530394
172104|2101|Central Region - Category C|7|T|530394
172105|2101|Eastern Region - CBU Full Dues|779|T|530394
172106|2101|Southern Region - CBU Full Dues|21659|T|530394
172107|2101|Southern Region CBU Part-time/per diem|2176|T|530394
172108|2101|Southern Region - Category A|68|T|530394
172109|2101|Central Region CBU Full Dues|1548|T|530394
172110|2101|Central Region - CBU Part-time/per diem|623|T|530394
172111|2101|Central Region - Category A|37|T|530394
172112|2101|Eastern Region - Category C|9|T|530394
172113|2101|Eastern Region - CBU Part-time/per diem|385|T|530394
172114|2101|Eastern Region - Category A|59|T|530394
172115|2101|Eastern Region - Category B|3|T|530394
172116|2101|New Jersey South Region - CBU Full Dues|296|T|530394
172117|2101|New Jersey South Region - CBU Part-time/per diem|96|T|530394
172118|2101|New Jersey South Region - Category A|1|T|530394
172119|2101|Lower Hudson Region - CBU Full Dues|2592|T|530394
172120|2101|Lower Hudson Region - CBU part-time/per diem|821|T|530394
172121|2101|Lower Hudson Region - Category B|3|T|530394
172122|2101|Southern Region - Category B|9|T|530394
172123|2101|Southern Region - Category C|20|T|530394
172124|2101|Southeastern Region - CBU Full Dues|1825|T|530394
172125|2101|Southeastern Region - CBU part-time/per diem|865|T|530394
172126|2101|Southeastern Region - Category A|32|T|530394
172127|2101|Southeastern Region - Category B|4|T|530394
172128|2101|Southeastern Region - Category C|4|T|530394
172129|2101|Lower Hudson Region - Category A|15|T|530394
172130|2101|Western Region - CBU Full Dues|1111|T|530394
172131|2101|Western Region - CBU part-time/per diem|257|T|530394
172132|2101|Western Region - Category A|22|T|530394
172133|2101|Western Region - Category C|3|T|530394
172134|2101|Lower Hudson Region - Direct|12|T|530394
172135|2101|Southeastern Region - Direct|19|T|530394
172136|2101|Central Region - Direct|9|T|530394
172137|2101|Eastern Region - Direct|21|T|530394
172138|2101|Eastern Region - Retired|18|T|530394
172139|2101|Lower Hudson Region - Retired|24|T|530394
172140|2101|Southeastern Region - Retired|30|T|530394
172141|2101|Southern Region - Direct|22|T|530394
172142|2101|Western Region - Direct|11|T|530394
172143|2101|Central Region - Retired|51|T|530394
172144|2101|Western Region - Retired|22|T|530394
172145|2101|New Jersey North Region - Retired|9|T|530394
172146|2101|New Jersey South Region - Retired|1|T|530394
172147|2101|New Jersey North Region - Category A|1|T|530394
172148|2101|Southern Region - Retired|130|T|530394
172149|2101|New Jersey North Region - Category C|1|T|530394
172150|2101|New Jersey South - Direct|1|T|530394
172151|2102||971|F|530394
172152|2101|ACTIVE MEMBERS|1503|T|530397
172153|2101|RETIRED MEMBERS|550|T|530397
172154|2101|LIFE MEMBERS|112|T|530397
172155|2102||0|F|530397
172158|2101|Active|27803|T|530414
172159|2101|Non-Affiliated|9225|F|530414
172160|2101|Book members|2423|T|530419
172161|2101|Applicants|754|F|530419
172162|2102||0|F|530419
172163|2101|FULL MEMBERS|814|T|530423
172164|2102||39|F|530423
172172|2101|BARGAINING UNIT EMPLOYEES|89733|T|530426
172173|2102||0|F|530426
172181|2101|REGULAR MEMBERSHIP|558|T|530430
172182|2101|ACTIVE LIFE MEMBERS|91|T|530430
172183|2101|Regular Members|377|T|530432
172186|2101|Regular Members|22891|T|530435
172187|2101|Associate Members|7|F|530435
172188|2102||0|F|530435
172190|2101|Active|857|T|530440
172191|2101|ACTIVE MEMBER|38620|T|530446
172192|2101|DISNEY MEMBER|323|T|530446
172193|2101|LIFE MEMBER|32|T|530446
172194|2101|REINSTATED MEMBER|3547|T|530446
172195|2101|NATIONAL GRID-ELECTRIC RI|350|T|530447
172196|2101|NATIONAL GRID-SERVICE|20|T|530447
172197|2101|NATIONAL GRID-GAS-CUMBERLAND|56|T|530447
172198|2101|DOMINION ENERGY-GENERATIONS|24|T|530447
172199|2101|Members|62566|T|530449
172200|2101|Associate Members / Retirees|114|F|530449
172201|2102||3398|F|530449
172202|2101|ACTIVE MEMBER|946|T|530451
172203|2101|RETIRED MEMBER|5|F|530451
172204|2101|UNEMPLOYED MEMBER|0|F|530451
172205|2101|LIFE MEMBER|147|F|530451
172206|2101|OFFICIAL MEMBER|55|F|530451
172207|2101|Active|1879|T|530452
172208|2102||0|F|530452
172209|2101|ACTIVE MEMBERS|176058|T|530453
172210|2101|RETIRED MEMBERS|88591|T|530453
172211|2101|MILITARY MEMBERS|165|T|530453
172212|2101|Active Members|3956|T|530461
172213|2101|Inactive Members|454|F|530461
172214|2102||622|F|530461
172215|2101|ACTIVE MEMBER|2005|T|530467
172216|2101|RETIRED MEMBER|20|F|530467
172217|2101|UNEMPLOYED MEMBER|1|F|530467
172218|2101|LIFE MEMBER|419|F|530467
172219|2101|OFFICIAL MEMBER|151|F|530467
172220|2101|ACTIVE MEMBER|649|T|530469
172221|2102||0|F|530469
172222|2101|Active|4398|T|530472
172223|2101|Retiree's|10|T|530472
172224|2101|Non-Pay|294|T|530472
172225|2102||0|F|530472
172226|2101|Current|8882|T|530473
172227|2101|Post Current|1771|F|530473
172228|2101|Emeritus|6141|F|530473
172229|2101|Associate|4401|F|530473
172230|2102||33|F|530473
172231|2101|A MEMBERS|1468|T|530475
172232|2101|BA MEMBERS|28|T|530475
172233|2101|VOICE, VIDEO & DATA|119|T|530475
172234|2101|APPRENTICES|173|T|530475
172235|2101|SIGNMEN|10|T|530475
172236|2101|SEARS TECH|0|T|530475
172237|2101|RESIDENTIAL|15|T|530475
172238|2101|Journeymen and Apprentices|80|T|530477
172239|2101|Retired|57|F|530477
172240|2102||0|F|530477
172241|2101|Journeyman|243|T|530523
172242|2101|Retirees|105|T|530523
172243|2101|Apprentices|42|F|530523
172244|2101|Life Members|16|T|530523
172245|2101|JOURNEYMAN PLASTERERS|36|T|530973
172246|2101|JOURNEYMAN CEMENT MASONS|928|T|530973
172247|2101|APPRENTICE CEMENT MASONS|10|T|530973
172248|2101|APPRENTICE PLASTERERS|2|T|530973
172282|2101|Members in good standing|3670|T|531612
172283|2102||11|F|531612
172284|2101|ACTIVE MEMBERS|11700|T|531640
172285|2101|RETIRED MEMBERS|5000|T|531640
172286|2102||0|F|531640
172287|2101|regular member- full dues|40|T|531716
172293|2101|Active Members|654|T|531828
172294|2101|Retired Members|95|T|531828
172295|2102||0|F|531828
172304|2101|Active|109563|T|531925
172305|2101|Retired - Age 65|1971|T|531925
172306|2101|Retired - Age 75|1573|T|531925
172307|2101|Other|3078|T|531925
172313|2101|Full Membership|210|T|532002
172314|2101|Retired Members|75|T|532002
172315|2101|50 Year Members|18|T|532002
172332|2101|BA members who pay full dues|911|T|532110
172343|2101|Active Members|3800|T|532175
172348|2101|Clerks|974|T|532181
172349|2101|Mail Handlers|1|F|532181
172350|2101|Letter Carriers|7|F|532181
172351|2101|Maintenance Craft|66|T|532181
172352|2101|Postmasters|2|F|532181
172353|2101|Supervisors|4|F|532181
172354|2101|Cash Paying Members|9|T|532181
172361|2101|ACTIVE MEMBERS|319|T|532201
172363|2101|PHARMACISTS, PAY FULL DUES - $27.50 / MONTH|3440|T|532277
172364|2101|PHARMACY INTERNS, REDUCED DUES - $10.00 / MONTH|10|T|532277
172365|2101|PHARMACISTS ON CALL, REDUCED DUES - $20.00 / MONTH|300|T|532277
172366|2101|LABOR UNIONS|2|T|532305
172367|2101|Regular|144|T|532306
172368|2101|Regular Member|2607|T|532307
172369|2101|Member Non Dues Payer|206|T|532307
172370|2101|Pending Member Non Dues Payer|252|F|532307
172371|2102||26|F|532307
172372|2101|VOTING MEMBERS|24|T|532310
172373|2101|A Members|11|T|532313
172374|2101|BA Members|244|T|532313
172377|2101|GENERAL MEMBERSHIP|297|T|532350
172378|2102||0|F|532350
172384|2101|JOURNEYMEN|185|T|532367
172385|2101|APPRENTICE|17|T|532367
172386|2101|RETIREES|117|T|532367
172387|2101|ACTIVE|409|T|532368
172388|2101|DISABLED|74|T|532368
172389|2101|WITHDRAWL|43|F|532368
172390|2101|HONORARY|181|F|532368
172391|2102||0|F|532368
172392|2101|ACTIVE|911|T|532369
172393|2101|APPRENTICE|98|T|532369
172394|2101|RETIRED|132|T|532369
172395|2101|CALLED MILITARY|2|T|532369
172396|2101|HONORARY|69|T|532369
172397|2101|ARREARS|121|F|532369
172398|2101|Players|1482|T|532373
172399|2102||0|F|532373
172401|2101|A-MEMBER|377|T|532403
172402|2101|BA-MEMBER|1921|T|532403
172403|2101|SR-MEMBER|62|F|532403
172404|2101|MEMBERS|21714|T|532404
172409|2101|Active Members|2430|T|532413
172410|2102||0|F|532413
172417|2101|ACTIVE & RETIRED MEMBERS|888|T|532451
172418|2101|BUILDING TRADES - ACTIVE JOURNEYMEN - PLUMBERS|732|T|532454
172419|2101|BUILDING TRADES - APPRENTICES|95|F|532454
172420|2101|BUILDING TRADES - RETIRED LIFE MEMBERS|188|T|532454
172421|2101|BUILDING TRADES - RETIRED MEMBERS|338|T|532454
172422|2101|BUILDING TRADES - MAINTENANCE & REPAIR JOURNEYMEN|17|T|532454
172423|2101|BUILDING TRADES - RESIDENTIAL APPRENTICES|1|F|532454
172424|2101|BUILDING TRADES - RESIDENTIAL JOURNEYMEN|6|T|532454
172425|2101|METAL TRADES - JOURNEYMEN|48|T|532454
172426|2101|DIVISION TRAINEE|23|F|532454
172427|2102||10|F|532454
172439|2101|ACTIVE|168593|T|532464
172440|2101|HONORABLE WITHDRAWAL|46430|F|532464
172441|2101|PAYMENT PENDING|4|F|532464
172442|2101|SUSPENDED|32445|F|532464
172443|2102||2129|F|532464
172444|2101|JOURNEYMEN|0|T|532466
172445|2101|RETIREES|0|T|532466
172446|2101|LIFE MEMBERS|0|T|532466
172447|2102||0|F|532466
172448|2101|"A" Members Pay Full Dues|28|T|532472
172449|2101|"BA" Members Pay Full Dues|146|T|532472
172450|2101|MECHANICS|13|T|532473
172451|2101|PRODUCTION SALARIES|274|T|532473
172452|2101|SALESMAN|5|T|532473
172453|2101|OFFICE WORKERS|20|T|532473
172462|2101|Journeymen|815|T|532476
172463|2101|Fourty-year|173|T|532476
172464|2101|Life|183|T|532476
172465|2101|Disabled|37|T|532476
172466|2101|Exempt|13|T|532476
172467|2101|Apprentice|82|T|532476
172468|2101|Improver|1|T|532476
172469|2101|Support|57|T|532476
172470|2102||0|F|532476
172474|2101|Active|21017|T|532505
172475|2101|Retired|626|T|532505
172481|2101|Journeymen|467|T|532598
172482|2101|Retirees|138|T|532598
172483|2101|Apprentices|107|F|532598
172484|2102||0|F|532598
172499|2101|AAFES|22|T|532614
172500|2101|NAF|57|T|532614
172501|2101|DOD|409|T|532614
172502|2101|DECA|50|T|532614
172503|2101|Retirees|111|T|532614
172504|2101|MECHANICS|361|T|532631
172505|2101|HELPERS|49|T|532631
172506|2101|APPRENTICES|29|T|532631
172507|2102||0|F|532631
172508|2101|ALL MEMBERS ARE IN GOOD STANDING PAYING FULL DUES|396|T|532637
172509|2101|Active firefighters|5711|T|532639
172510|2101|Retired firefighters|726|T|532639
172515|2101|ACTIVE|1391|T|532650
172516|2101|APPRENTICE|261|T|532650
172517|2101|RETIRED|45|T|532650
172518|2101|HONORARY|18|T|532650
172519|2101|ARREARS|354|F|532650
172536|2101|Journeyman|378|T|532669
172537|2101|Lifetime|130|F|532669
172538|2101|Honorary|57|F|532669
172539|2101|Apprentice|12|F|532669
172540|2101|Probationary|45|F|532669
172546|2101|Clerk|326|T|532716
172547|2101|Motor vehicle|89|T|532716
172548|2101|Maintenance|223|F|532716
172549|2101|Supervisor|1|F|532716
172550|2101|Disabled|35|T|532720
172551|2101|Apprentice|59|T|532720
172552|2101|Retired|369|F|532720
172553|2101|Honorary|202|F|532720
172554|2101|Regular|824|T|532720
172555|2101|Building Trades|339|T|532743
172556|2101|Metal Trades|36|T|532743
172557|2101|Apprentices|30|F|532743
172558|2101|Residential|10|T|532743
172559|2101|MEMBERS|310|T|532756
172563|2101|Members - General|123|T|532837
172564|2101|Members - Industrial|274|T|532837
172565|2102||0|F|532837
172577|2101|Administrative Members|35259|T|532923
172578|2101|Institutional Members|14348|T|532923
172579|2101|Private/Public Sector Members|1487|T|532923
172580|2102||2706|F|532923
172583|2101|FULL MEMBERSHIP TEACHERS|261|T|532942
172588|2101|REGULAR DUES PAYING MEMBERS|1419|T|532979
172589|2101|REGULAR MEMBERSHIP|1281|T|532984
172590|2101|UNEMPLOYED MEMBERSHIP|390|T|532984
172591|2101|FINANCIAL CORE MEMBERSHIP|2|F|532984
172597|2101|ACTIVE AND RETIRED|554|T|533029
172603|2101|JOURNEYMAN|229|T|533039
172604|2101|APPRENTICE|51|T|533039
172605|2101|HONORARY|143|T|533039
172606|2101|MILITARY|2|T|533039
172607|2101|PROBATIONARY|1|F|533039
172612|2101|59 local unions|59|T|533074
172611|2101|Individual members of unions|33600|F|533074
172613|2101|9 Regional Councils|9|T|533074
172615|2101|CLASS "A" MEMBER|8|T|533081
172616|2101|CLASS "BA" MEMBER|461|T|533081
172617|2102||1|F|533081
172619|2101|Members|363|T|533090
172620|2101|JOURNEYMEN|397|T|533096
172621|2101|APPRENTICE|25|T|533096
172622|2101|RETIRED|89|T|533096
172623|2101|DISABLED|19|T|533096
172624|2101|HONORARY|39|T|533096
172625|2101|ARREARS|64|F|533096
172635|2101|JOURNEYMAN|404|T|533131
172636|2101|APPRENTICE|33|T|533131
172637|2101|HELPER|37|T|533131
172638|2102||0|F|533131
172639|2101|JOURNEYMEN|544|T|533181
172640|2101|APPRENTICE BOILERMAKERS|81|T|533181
172641|2101|RETIREES|491|F|533181
172642|2101|HELPERS|33|T|533181
172643|2101|TRAINEE|1|T|533181
172649|2101|A-Members that contribute to Life Ins. & Pensions|51|T|533200
172650|2101|BA-Mbrs that do not contr. to Life Ins & Pensions|550|T|533200
172651|2101|REGULAR|582|T|533261
172652|2101|RETIRED|41|T|533261
172653|2101|APPRENTICE|41|T|533261
172654|2101|40 YEAR RETIRED|91|T|533261
172657|2101|"A" MEMBERS|308|T|533291
172658|2101|"BA" MEMBERS|7|T|533291
172659|2101|Apprentices|94|F|533302
172660|2101|Journeymen|429|T|533302
172661|2101|Pensioners|166|T|533302
172662|2101|Honorary|119|T|533302
172663|2101|Military|0|F|533302
172664|2101|Probationaries|1|F|533302
172665|2101|Regular Members|35|T|533303
172666|2102||0|F|533303
172667|2101|REGULAR MEMBERS|1040|T|533305
172668|2101|EARLY RETIRED MEMBER|47|T|533305
172669|2101|RETIRED OR DISABLED MEMBERS|162|T|533305
172670|2101|HONORARY MEMBERS|160|T|533305
172671|2101|MILITARY MEMBERS|0|T|533305
172672|2102||3|F|533305
172673|2101|A|382|T|533322
172674|2101|BA|8|T|533322
172675|2102||0|F|533322
172685|2101|REGULAR MEMBERS|756|T|533340
172686|2101|RETIRED MEMBERS|93|T|533340
172687|2101|APPRENTICE MEMBERS|79|T|533340
172688|2101|EARLY RETIRED|20|T|533340
172689|2101|HONORARY MEMBERS|60|F|533340
172690|2101|REGULAR|550|T|533356
172691|2101|RETIRED|178|T|533356
172692|2101|apprentices|58|T|533409
172693|2101|metal workers|4|T|533409
172694|2101|journeymen|218|T|533409
172695|2101|retirees|107|T|533409
172700|2101|REGULAR MEMBER|10649|T|533421
172701|2102||1|F|533421
172702|2101|ACTIVE|1103|T|533422
172703|2101|APPRENTICE|123|T|533422
172704|2101|DISABLED|13|T|533422
172705|2101|RETIRED|153|T|533422
172706|2101|CONTRACTOR|6|F|533422
172707|2101|CALLED MILITIARY|1|T|533422
172708|2101|HONORARY|127|T|533422
172709|2101|ARREARS|161|F|533422
172710|2101|MEMEBERS PROJECTIONISTS  -  MEMEBERS PAY FULL DUES|33|T|533438
172711|2101|AUDIO VISUAL - MEMEBERS PAY FULL DUE|225|T|533438
172712|2101|THEATRICAL USHERS - MEMBERS PAY FULL DUES|1076|T|533438
172713|2101|HOME OFFICE - MEMEBERS PAY FULL DUES|60|T|533438
172714|2101|Active dues paying Member|1368|T|533439
172716|2101|'BA' Members|289|T|533452
172717|2101|'A' Members|154|T|533452
172718|2101|Apprentice|104|T|533461
172719|2101|Journeyperson|790|T|533461
172720|2101|Retired Journeyperson|260|T|533461
172721|2101|ACTIVE MEMBERS|612|T|533464
172722|2102||0|F|533464
172723|2101|Journeyman Wireman|371|T|533472
172724|2101|Construction Apprentice|54|T|533472
172725|2101|Construction Wireman|24|T|533472
172726|2101|Construction Electrician|5|T|533472
172727|2102||0|F|533472
172728|2101|JIW|356|T|533473
172729|2101|IJIW|38|T|533473
172730|2101|APPRENTICE WIREMAN|123|T|533473
172731|2101|MAINTENANCE|2|T|533473
172732|2101|EQUIPMENT OPERATOR|10|T|533473
172733|2101|JOURNEYMAN LINEMAN|2|T|533473
172734|2101|JRN TRANSMISSION|2|T|533473
172735|2101|GROUNDMAN I|4|T|533473
172736|2101|GROUNDMAN II|7|T|533473
172737|2101|OUTSIDE APPRENTICE|2|T|533473
172738|2101|TRUCK DRIVER|1|T|533473
172739|2101|NONE|6|T|533473
172740|2101|A members|1500|T|533474
172741|2101|BA members|2405|T|533474
172742|2102||6|F|533474
172743|2101|Ohio District Council|1|T|533477
172744|2101|Kentucky District Council|1|T|533477
172745|2101|Southeast District Council|1|T|533477
172746|2101|Apprentices|63|F|533479
172747|2101|Journeymen|288|T|533479
172748|2101|Pensioners|136|T|533479
172749|2101|Honoraries|32|T|533479
172750|2101|Probationaries|3|F|533479
172751|2102||0|F|533479
172752|2101|"A" MEMBERS|667|T|533480
172753|2101|"BA" MEMBERS|108|T|533480
172754|2101|JOURNEY INSIDE WIREMAN|186|T|533495
172755|2101|APPRENTICE INSIDE WIREMAN|7|T|533495
172756|2102||0|F|533495
172762|2101|Regular Members|641|T|533499
172763|2101|Life Members|104|T|533499
172784|2101|RETIREE MEMBERS|5764|T|533568
172785|2101|ACTIVE MEMBERS|24430|T|533568
172786|2102||31|F|533568
172787|2101|JOURNEYMAN WIREMAN|99|T|533569
172788|2101|APPRENTICE WIREMAN|13|T|533569
172789|2101|CONSTRUCTION ELECTRICIAN|2|T|533569
172790|2101|CONSTRUCTION WIREMAN|1|T|533569
