OID|ACCT_TYPE|NAME|PAST_DUE_90|PAST_DUE_180|LIQUIDATED|TOTAL|RPT_ID
71186|101|DUES RECEIVABLE FROM MEMBERS|0|0|0|39971|527520
71187|101|(The information on this page is for disclosure|0|0|0|0|527520
72161|101|COMMUNITY HIGH|0|0|0|20759|534869
72162|101|EDWARDSVILLE|0|0|0|20606|534869
71188|101|purposes only.  It was not subjected to audit.)|0|0|0|0|527520
71189|102|All Other Accounts|||||527520
71202|101|None|0|0|0|0|527840
71203|102|All Other Accounts|0|0|0|0|527840
71205|102|All Other Accounts|0|0|0|0|527860
71210|102|All Other Accounts|0|0|0|592390|527948
71295|102|All Other Accounts|||||528943
71301|102|All Other Accounts|||||528977
74424|101|NONE|0|0|0|0|545107
71360|102|All Other Accounts|0|0|0|0|529603
71363|102|All Other Accounts|0|0|0|0|529660
71369|102|All Other Accounts|||||529728
71316|102|All Other Accounts|||||529219
71317|102|All Other Accounts|0|0|0|0|529222
71320|101|GUILD 4|2906|||2906|529342
71321|101|LOCAL 428|12627|||12627|529342
71322|102|All Other Accounts||||1376937|529342
71323|101|BUZZ NETWORKS||62500||62500|529392
71324|101|FUNDEX GAMES||5000||5000|529392
71325|101|MOGOTXT||27648||27648|529392
71326|101|PROCTOR & GAMBLE||7117||7117|529392
71327|101|STARGREETZ||10000||10000|529392
71328|101|TALKIN2ME MEDIA|20000|20000||40000|529392
71329|101|NATIONAL ALBANIAN AMERICAN COUNCIL||17673||17673|529392
71330|101|TWO GIRLS CREATIVE||14755||14755|529392
71331|102|All Other Accounts|7001|13214||2929048|529392
71332|102|All Other Accounts||1045||19131|529420
71335|101|NOT APPLICABLE|0|0|0|0|529464
71336|102|All Other Accounts|||||529464
71358|102|All Other Accounts|0|0|0|0|529551
71359|102|All Other Accounts|||||529588
71375|102|All Other Accounts|0|0|0|0|529776
71376|102|All Other Accounts|831|11084|0|12227|529789
72163|101|VILLA PARK E A|0|0|0|20529|534869
74441|101|N/A|0|0|0|0|545161
74446|101|NONE|0|0|0|0|545185
74460|101|NONE|0|0|0|0|545212
72924|101|Member Dues||||29097|535672
72940|101|N/A|0|0|0|0|535695
72944|101|PMCA||||893|535697
74462|101|NONE|0|0|0|0|545215
72957|101|TEXAS AFT|8584|0|0|30043|535709
72164|101|JACKSONVILLE|0|0|0|20414|534869
72167|101|MOLINE|0|0|0|20003|534869
72968|101|none|0|0|0|0|535733
72169|101|CENTRAL EA|0|0|0|19369|534869
72171|101|LAKE ZURICH|0|0|0|19297|534869
72172|101|URBANA|0|0|0|18078|534869
72174|101|BATAVIA|0|0|0|18007|534869
72177|101|HERRIN|0|0|0|17548|534869
71409|102|All Other Accounts||||11883|530046
71412|102|All Other Accounts||||1921|530078
71413|101|None|0|0|0|0|530087
71414|102|All Other Accounts|0|0|0|0|530087
71415|101|NONE|0|0|0|0|530106
71416|102|All Other Accounts|0|0|0|0|530106
71417|102|All Other Accounts|||||530111
71418|102|All Other Accounts|0|0|0|0|530114
71421|102|All Other Accounts|||||530169
71423|102|All Other Accounts||||21453|530200
71424|102|All Other Accounts|0|4317|0|4317|530211
71434|102|All Other Accounts|||||530245
71436|102|All Other Accounts||||108472|530265
71437|101|NONE|0|0|0|0|530276
71438|102|All Other Accounts|0|0|0|0|530276
71440|102|All Other Accounts||||0|530281
71444|102|All Other Accounts|||||530301
71445|102|All Other Accounts|||||530303
71446|101|boeing||||173|530311
71447|101|miller||||2509|530311
71448|101|member||||779|530311
71449|101|busch||||3193|530311
71450|101|l-3||||1728|530311
71451|101|vulcan||||1667|530311
71452|101|raytheon||||1422|530311
71453|101|member||||397|530311
71454|101|exxon||||384|530311
71455|101|member||||1380|530311
71456|102|All Other Accounts||||21567|530311
71459|102|All Other Accounts|||||530353
71462|102|All Other Accounts||||40155|530365
71400|102|All Other Accounts|||||529920
72178|101|ISU NTT FA|0|0|0|17545|534869
71464|102|All Other Accounts|||||530386
71465|101|Facility Accrual|0|0|0|4221570|530394
71466|101|SPAN|0|0|0|446315|530394
71467|101|Other|0|0|0|104461|530394
71468|102|All Other Accounts|||||530394
71469|101|TSP REIMBURSEMENT RECEIVABLE|0|0|0|3067|530397
71470|102|All Other Accounts|||||530397
71472|102|All Other Accounts|0|0|0|1111201|530414
71473|102|All Other Accounts|0|0|0|190635|530419
71474|102|All Other Accounts|0|0|0|0|530423
71481|101|GENERAL FUND MEMBER DUES RECEIVALBE|0|0|0|12757|530430
71482|101|ENGAGMENT ACCOUNTS RECEIVABLE|0|0|0|29605|530430
71483|101|ACCRUED INTEREST RECEIVABLE|0|0|0|1659|530430
71484|101|OTHER RECEIVABLE|0|0|0|860|530430
71485|102|All Other Accounts|||||530430
71486|101|Ed Wells Initiative||||57866|530435
71487|102|All Other Accounts|||||530435
71490|102|All Other Accounts|0|0|0|739377|530446
71491|102|All Other Accounts|0|0|0|0|530447
71492|101|ESC / IFPTE Local 20||||30519|530449
71493|101|IFPTE Local 77|1859|17904||21672|530449
71494|101|IFPTE Local 196||||9579|530449
71495|101|AALJ Inc / IFPTE Judicial Council 1||||6785|530449
71496|101|IFPTE / NJCSA Council 6|9275|41006||59742|530449
71497|101|IFPTE / NJCSA Council 8||32724||52018|530449
71498|102|All Other Accounts|1335|648||23945|530449
71499|102|All Other Accounts|0|0|0|0|530452
71500|101|National Postal Mailhandlers Union|0|60722||60722|530453
71501|102|All Other Accounts||||6278133|530453
71502|101|Dues|||12171|605886|530461
71503|102|All Other Accounts||||0|530461
71504|101|MEMBERS DUES AND ASSESSMENTS||||29737|530469
71505|102|All Other Accounts|||||530469
71506|102|All Other Accounts|||||530472
71507|101|Focus Features|0|0|0|10695|530473
71508|101|Fox Searchlight Pictures|9200|0|0|18400|530473
71509|101|HBO|0|0|0|32500|530473
71510|101|Paramount Pictures|4600|0|0|21300|530473
71511|101|Roadside Attractions|4600|0|0|9200|530473
71512|101|Weinstein Company|0|0|0|16050|530473
71513|101|WGAE|0|0|0|128017|530473
71514|101|SAG-AFTRA|12010|0|0|45646|530473
71515|101|DGA|0|0|0|11877|530473
71516|101|Walt Disney Studios Motion Pictures|0|0|0|5000|530473
71517|101|Florida State University|0|0|0|8100|530473
71518|101|UCLA Extension|0|0|0|16000|530473
71519|101|Universal Pictures|0|0|0|13000|530473
71520|102|All Other Accounts|19297|0||4799304|530473
71521|102|All Other Accounts||||0|530475
71522|102|All Other Accounts|||||530973
71463|102|All Other Accounts||||21917|530379
72180|101|BLOOM TWP HS|0|0|0|17213|534869
72977|101|MSU UNTF|11517|||14645|535745
72183|101|DES PLAINES|0|0|0|17083|534869
72186|101|MATTOON|0|0|0|16805|534869
72192|101|GENEVA|0|0|0|16142|534869
71534|101|Edwin Cannistraci|9691|||9719|531612
71535|102|All Other Accounts|49371|||155885|531612
71536|101|NOT APPLICABLE|0|0|0|0|531640
71537|102|All Other Accounts|||||531640
71570|102|All Other Accounts|||||532159
71572|101|March and April Per Capita||||59513|532175
71573|102|All Other Accounts|||||532175
71603|101|Health and Welfare - ECHL||||21133|532373
71576|102|All Other Accounts|0|0|0|0|532181
71579|102|All Other Accounts|||||532201
71581|101|VARIOUS MEMBER DUES & INITIATION FEES||||3000|532277
71582|102|All Other Accounts|||||532277
71583|102|All Other Accounts||||43885|532305
71584|102|All Other Accounts|346|120328||128342|532307
71585|102|All Other Accounts|||||532310
71586|101|NORTHERN NEW ENGLAND TELEPHONE (FAIRPOINT)||||11043|532350
71587|102|All Other Accounts|||||532350
71589|102|All Other Accounts|||||532367
71590|101|ABSOLUTE INSULATION||16232||16232|532368
71591|101|DENTT, LLC||6070||6070|532368
71592|102|All Other Accounts||0||159658|532368
71593|101|Dues - AHL||||211785|532373
71594|101|Dues - CHL||||16283|532373
71595|101|Dues - ECHL||||35421|532373
71596|101|Penalties - ECHL||||449|532373
71597|101|Player Fines - AHL||||28255|532373
71598|101|Player Fines - ECHL||||10200|532373
71599|101|Player Fines - CHL||||1534|532373
71600|101|Other Receivables||||111829|532373
71601|101|Licensing||||1000|532373
71602|101|Health and Welfare - AHL||||75566|532373
71549|102|All Other Accounts|||||531925
71604|102|All Other Accounts|||||532373
71605|102|All Other Accounts|||||532403
72196|101|HAWTHORN CC|0|0|0|15595|534869
72199|101|DIXON|0|0|0|14754|534869
71607|102|All Other Accounts|0|0|0|435210|532404
71608|101|Totals from all other accounts receivable|0|0|0|202405|532413
71609|102|All Other Accounts|||||532413
71611|101|DUES RECEIVABLE|0|0|0|104046|532451
71612|101|DUE FROM FL. PIPE TRADES|0|0|0|12213|532451
71613|102|All Other Accounts|||||532451
71614|101|ACCRUED INTEREST RECEIVABLE||||1207|532454
71615|101|ASSESSMENTS AND DUES RECEIVABLE||||179357|532454
71616|101|DUE FROM UA FOR ORGANIZER||||2000|532454
71617|101|DUE FROM AFFILIATED FUNDS||||4210|532454
71618|102|All Other Accounts|||||532454
71622|102|All Other Accounts||||886830|532464
71623|101|NONE|0|0|0|0|532466
71624|102|All Other Accounts|||||532466
71625|101|NONE|0|0|0|0|532472
71626|102|All Other Accounts|0|0|0|0|532472
71627|102|All Other Accounts|2536|3682||29446|532473
71632|102|All Other Accounts|||||532476
71639|102|All Other Accounts||||3919|532505
71646|102|All Other Accounts|||||532631
71647|102|All Other Accounts|0|0|0|0|532637
71653|102|All Other Accounts|||||532669
71654|102|All Other Accounts|||||532716
71655|102|All Other Accounts||||17500|532720
71656|102|All Other Accounts|0|0|0|0|532756
71659|102|All Other Accounts|||||532837
71662|101|Membershi Benefits Program|0|0|0|1206456|532923
71663|101|NYS Dues and Fees|0|0|0|522032|532923
71664|101|American Federation of Teachers|0|0|0|105880|532923
71606|101|SPRINGFIELD FEDERATION OF PARAPROFESSIONALS|0|12896|0|12896|532404
71665|101|AFT Solidarity Fund|0|0|0|19736|532923
71666|101|AFT Rebates|0|0|0|37097|532923
71667|101|NYS GOER  - DOL Grant|0|0|0|38632|532923
71668|101|NYS GOER|0|0|0|44803|532923
71669|101|NYS Joint Comm on Health Benefits|0|0|0|312500|532923
71670|101|NIOSH |0|0|0|27532|532923
71674|101|United Steel Workers|0|0|0|5234|532923
71675|101|AFT PAC|0|0|0|7365|532923
71676|102|All Other Accounts||||82770|532923
71680|102|All Other Accounts||||31956|532979
71681|102|All Other Accounts|||||532984
71685|102|All Other Accounts|0|0|0|0|533029
71686|102|All Other Accounts|||||533030
71688|102|All Other Accounts|0|0|0|0|533081
71691|101|DUES & FEES FROM MEMBERS (ESTIMATED & NOT AUDITED)|811|100|8938|8349|533096
71692|102|All Other Accounts|||||533096
71696|101|NONE|0|0|0|0|533131
71697|102|All Other Accounts|0|0|0|0|533131
71698|102|All Other Accounts|||||533181
71699|102|All Other Accounts|0|0|0|0|533200
71700|102|All Other Accounts|0|0|0|36613|533261
71701|102|All Other Accounts|||||533302
71702|102|All Other Accounts|0|0|0|0|533303
71703|102|All Other Accounts|0|0|0|0|533322
71709|102|All Other Accounts||||0|533409
71712|101|NONE|0|0|0|0|533421
71713|102|All Other Accounts|0|0|0|1263|533421
71714|102|All Other Accounts|0|0|0|0|533438
71715|102|All Other Accounts|||||533439
71716|102|All Other Accounts|||||533452
71717|102|All Other Accounts||||2228|533461
71718|102|All Other Accounts|0|0|0|14412|533464
71719|101|Various Working Dues||||43261|533472
71720|102|All Other Accounts||||0|533472
71721|101|Labor Management Cooperative Committee||||4294|533474
71722|102|All Other Accounts|||||533474
71723|102|All Other Accounts|||||533477
71724|101|California Field Iron Workers Vacation Fund|0|0|0|86331|533479
71725|102|All Other Accounts|29615|||45960|533479
71726|101|NONE SHOWN-SEE ADDITIONAL INFORMATION|0|0|0|0|533480
71727|102|All Other Accounts|||||533480
71671|101|PEF Travel|0|0|0|24519|532923
71672|101|NYS Prof Development Grant|0|0|0|140000|532923
71673|101|NYS PEF Retirees|0|0|0|108297|532923
72200|101|GENOA-KINGSTON|0|0|0|14636|534869
72201|101|FREEPORT|0|0|0|14489|534869
72203|101|MANTENO|0|0|0|14433|534869
72204|101|WATERLOO|0|0|0|14331|534869
72207|101|GENESEO|0|0|0|14207|534869
71752|102|All Other Accounts||||10372794|533568
71753|102|All Other Accounts|0|0|0|0|533569
71756|102|All Other Accounts|0|0|0|0|533604
71757|102|All Other Accounts|0|0|0|0|533620
71758|101|AFL - CIO STATE UNITY FUND||||12882|533648
71759|102|All Other Accounts||||3245|533648
71760|101|PER CAPITA DUES||||127950|533690
71761|101|DUE FROM AFFILIATES||||414060|533690
71762|102|All Other Accounts|||||533690
71763|102|All Other Accounts|0|0|0|56527|533701
71764|102|All Other Accounts|||||533709
71765|102|All Other Accounts|||||533716
71766|102|All Other Accounts|||||533718
71767|102|All Other Accounts|0|0|0|0|533719
71768|102|All Other Accounts|0|0|0|0|533745
71769|101|Performance Abatement, Inc.||||1980|533747
71770|101|Performance Contracting, Inc.||||1250|533747
71771|101|Williams Specialty Services||||9625|533747
71772|101|Williams Plant Services||||840|533747
71773|101|Breeding Insulation Company||||6528|533747
71774|101|B&W Y-12, LLC||||2573|533747
71775|101|Capitol Insulation Company||||350|533747
71776|101|Jax Insulation & Softpack||||1516|533747
71777|101|Wrap It Up Construction, LLC||||1128|533747
71778|101|Day & Zimmermann NPS, Inc.||||4345|533747
71779|101|Breeding Insulation Company||25443||25443|533747
71780|102|All Other Accounts|||||533747
71782|101|LGE UNION DUES WITHHELD||||26398|533768
71783|102|All Other Accounts||||9062|533768
71784|102|All Other Accounts||||74727|533772
71785|101|NONE ITEMIZED|0|0|0|0|533799
71786|102|All Other Accounts|0|0|0|0|533799
71787|101|NONE|0|0|0|0|533811
71788|102|All Other Accounts|412|280|0|1645|533811
71732|102|All Other Accounts||||49710|533499
71790|101|RAI CORPORATION|7233|16877|0|31343|533822
72208|101|BEACH PARK C C|0|0|0|14134|534869
77058|101|Local 882||||2450|550517
72209|101|GREENFIELD|3659|0|0|14130|534869
72979|101|MACOMB ISD|11552|||11552|535745
72980|101|DAEOE|19144|||28715|535745
72210|101|BLOOMINGTON|0|0|0|14065|534869
72981|101|DFSE|23668|||41333|535745
71816|101|Ashford Presbiterian Community Hospital||||4830|533828
72211|101|SANDWICH|0|0|0|14038|534869
72989|101|N/A|0|0|0|0|535749
71791|101|U.S. INFRASTRUCTURE CORP|3708|28428|0|35844|533822
71792|101|RAIZE STAFFING SOLUTIONS|1956|11736|0|15648|533822
71793|101|ARIZONA STATE WORKERS|1674|6138|0|9486|533822
71794|101|CRESTED BUTTE SKI RESORT|5157|10314|0|20628|533822
71795|101|THE CANYONS RESORT|2670|5340|0|10680|533822
71796|101|STEAMBOAT & SKI RESORT|2223|4446|0|8892|533822
71797|101|CWA LOCAL 14173|1050|4900|0|7000|533822
71798|101|CWA LOCAL 14320|1023|10659|0|12705|533822
71799|101|CWA LOCAL 14322|699|7922|0|9320|533822
71800|101|CWA LOCAL 14814|1548|29928|0|33024|533822
71801|101|CWA LOCAL 14845|5391|12579|0|23361|533822
71802|101|CWA LOCAL 31017|963|16692|0|18618|533822
71803|101|CWA LOCAL 31032|17313|0|0|34616|533822
71804|101|CWA LOCAL 1051|1923|72433|0|76279|533822
71805|101|CWA LOCAL 81076|16848|29111|0|62807|533822
71806|101|CWA LOCAL 81212|396|7392|0|8184|533822
71807|101|CWA LOCAL 81261|387|8514|0|9288|533822
71808|101|CWA LOCAL 81463|10392|46141|0|66925|533822
71809|101|CWA LOCAL 81475|35505|225025|0|296035|533822
71810|101|CWA LOCAL 89262|13623|99902|0|127148|533822
71811|101|UNION PRIVILEGE|363000|242000|0|968000|533822
71812|102|All Other Accounts||||12847458|533822
71813|102|All Other Accounts||||1412|533823
71814|102|All Other Accounts||||7002|533824
71815|102|All Other Accounts|32962|631|587806|7855198|533826
72065|101|Collins Hammond Electric||||10892|534756
71817|101|Concilio de Salud Integral de Loiza||||1863|533828
71818|101|Cooperativa de Farmacia Santa Teresita||||80|533828
71819|101|Fresenius Medical Care||||3873|533828
71820|101|Hospital Damas, Inc.||||5832|533828
71821|101|Hospital de la Concepcion||||8177|533828
71822|101|Hospital Episcopal San Lucas Guayama||||2600|533828
71823|101|Hospital Metropolitano||||913|533828
71824|101|Hospital Metropolitano Dr. Susoni, Inc.||||2520|533828
71825|101|Hospital San Carlos de Boromeo||||2900|533828
71826|101|Hospital San Cristobal||||4573|533828
71827|101|HPM Foundation, Inc.||||770|533828
71828|101|Professional Anesthesia Providers, PSC||||140|533828
71829|101|Sociedad ESpañola de Auxilio Mutuo y Beneficiencia||||24350|533828
71830|101|Southern Anesthesia Associates||||120|533828
71831|101|Concilio de Educación Continua Funcional||||23556|533828
71832|101|Artes Impresos||||18825|533828
71833|101|Centro Cuido Niños Manos de Angel||||64814|533828
71834|102|All Other Accounts|||||533828
71835|102|All Other Accounts||||2942|533845
71836|101|Due from Member|0|0|0|20|533849
71837|101|Due from Common Arc|0|0|0|5008|533849
71838|101|Due from MOST|0|0|0|1098|533849
71839|101|Due from SAJAC|0|0|0|22845|533849
71840|102|All Other Accounts|0|0|0|0|533849
71841|101|DUES & FEES FROM MEMBERS (ESTIMATED & NOT AUDITED)|2061|422|33563|17046|533853
71842|102|All Other Accounts|||||533853
71843|102|All Other Accounts|0|0|0|44874|533854
71852|102|All Other Accounts|0|0|0|0|533909
71853|102|All Other Accounts||||27910|533917
71854|101|Due from Southern Area|0|0|0|12768|533927
71855|101|Due from MOST|0|0|0|5026|533927
71856|102|All Other Accounts|0|0|0|0|533927
71857|101|NO RECEIVABLES TO REPORT |0|0|0|0|533928
71858|102|All Other Accounts|||||533928
71859|101|Upper Peninsula Trades Defense Fund||||10000|533958
71860|102|All Other Accounts|0|0|0|0|533958
71865|102|All Other Accounts|0|0|0|53181|534030
71866|102|All Other Accounts|||||534034
71867|102|All Other Accounts|0|0|0|0|534042
71868|102|All Other Accounts|0|0|0|0|534044
71869|102|All Other Accounts||||96807|534045
71870|101|N/A||0|0|0|534046
71871|102|All Other Accounts|0|0|0|0|534046
71872|102|All Other Accounts||||37743|534056
72215|101|CAROL STREAM|0|0|0|13449|534869
71873|102|All Other Accounts||||79145|534066
71875|101|Member dues receivable||||742552|534090
71876|101|Rents and misc receivable||||88410|534090
71877|102|All Other Accounts|||||534090
71878|101|Contractor Assessments||||34702|534128
71879|101|Member Dues||||1151|534128
71880|102|All Other Accounts|||||534128
71881|101|DUES RECEIVABLE FROM MEMBERS|0|0|0|56253|534135
71882|101|(The information on this page is for disclosure|0|0|0|0|534135
71883|101|purposes only.  It was not subjected to audit.)|0|0|0|0|534135
71884|102|All Other Accounts|0|0|0|0|534135
71885|102|All Other Accounts|||0||534165
71886|102|All Other Accounts||||19080|534183
71887|101|Atlanta Ironworkers Escrow Account||||32319|534189
71888|101|Atlanta Ironworkers Escrow Account||||8131|534189
71889|102|All Other Accounts||||2381|534189
71890|102|All Other Accounts||||83367|534207
71891|102|All Other Accounts|||||534217
71893|101|ASSESSMENT PAID 7/13 FOR 6/13||||51776|534229
71894|102|All Other Accounts|||||534229
71896|102|All Other Accounts|||||534237
71897|102|All Other Accounts|||||534239
71898|101|Dues receivable|0|0|0|65390|534244
71899|102|All Other Accounts|||||534244
71900|102|All Other Accounts|0|0|0|0|534261
71901|102|All Other Accounts|||0||534262
71902|101|NONE ITEMIZED|0|0|0|0|534280
71903|102|All Other Accounts|378|460|5624|6076|534280
71904|101|LUCAS PLUMBING & HEATING||||7243|534282
71905|101|STEVENS ENGINEERS & CONSTRUCTION||||6124|534282
71906|101|STANDARD PLUMBING||||5487|534282
71907|101|WILKES & COMPANY||||4987|534282
71908|101|CEDAR FAIR, LTD.||||3518|534282
71909|102|All Other Accounts||||16284|534282
71910|101|NONE ITEMIZED|0|0|0|0|534310
71911|102|All Other Accounts|2661|5649|35414|20082|534310
71929|101|NONE ITEMIZED|0|0|0|0|534318
71930|102|All Other Accounts|2021|0|25174|16905|534318
71931|102|All Other Accounts|||||534320
71932|101|Ironworkers Local #597 Escrow Account||||12391|534324
71933|102|All Other Accounts|||||534324
71934|102|All Other Accounts|||||534376
71935|101|0|0|0|0|0|534378
71936|102|All Other Accounts|||||534378
71937|102|All Other Accounts||||12740|534385
71938|102|All Other Accounts|0|0|0|35106|534386
71939|102|All Other Accounts|22486|0|0|227579|534387
71940|102|All Other Accounts|||||534389
71941|101|NONE ITEMIZED|0|0|0|0|534392
71942|102|All Other Accounts|876|0|34750|14806|534392
71943|102|All Other Accounts|||||534393
71944|102|All Other Accounts|||||534404
71946|101|ALLIED|0|0|0|1421|534437
71947|101|ART LITHOCRAFT|0|0|0|2269|534437
71948|101|BURD & FLETCHER|0|0|0|2375|534437
71949|101|COMMERCIAL LITHO|0|0|0|4525|534437
71950|101|FORMS MANUFACTURING|0|0|0|567|534437
71951|101|COOKMAN PRINTING CO|0|0|0|67|534437
71952|101|FOSTER|0|0|0|25|534437
71953|101|GEORGIA PACIFIC|0|0|0|2040|534437
71954|101|DOWNEN|0|0|0|19|534437
71955|101|ROGERS, IRENE|0|0|0|19|534437
71956|101|PACKAGING PRODUCTS|0|0|0|738|534437
71957|101|TENISON ENVELOPE|0|0|0|5829|534437
71958|102|All Other Accounts|||||534437
71959|102|All Other Accounts|||||534441
71960|102|All Other Accounts|0|0|0|0|534446
71961|101|CVPS|0|0|0|11322|534447
71962|101|GMP|0|0|0|6578|534447
71963|101|Peck Electric|5157|0|0|13664|534447
71964|102|All Other Accounts|0|0|0|22977|534447
71965|102|All Other Accounts||||8207|534451
71966|102|All Other Accounts||||6140|534454
71967|102|All Other Accounts|0|0|0|0|534455
71968|101|NONE|0|0|0|0|534462
71969|102|All Other Accounts|1176|4404|15695|16043|534462
71970|102|All Other Accounts|||||534481
71971|102|All Other Accounts|||||534488
71972|101|DEATH BENEFITS|7843|13899|4500|34612|534490
71973|101|BA DUES|29|||1486|534490
71974|101|BA WORKING DUES|158|||6450|534490
71975|101|A DUES/FEES|213||3234|2598|534490
71976|101|A WORKING DUES|||1720|644|534490
71977|102|All Other Accounts|||||534490
71978|101|DEBRA-KUEMPEL|0|0|0|12438|534494
71979|101|RIECK MECHANICAL|0|0|0|12621|534494
71980|101|STARCO, INC|0|0|0|5293|534494
71981|101|FREBCO|0|0|0|6000|534494
71982|102|All Other Accounts||||55161|534494
71983|102|All Other Accounts|||||534534
71984|102|All Other Accounts|||||534561
71985|102|All Other Accounts|0|0|0|0|534563
71986|101|NONE ITEMIZED|0|0|0|0|534565
71987|102|All Other Accounts|1042|4623|6345|11707|534565
71988|101|NONE ITEMIZED|0|0|0|0|534567
71989|102|All Other Accounts|446|2107|10431|5803|534567
71990|101|NONE|0|0|0|0|534568
71991|102|All Other Accounts|392|0|17425|6630|534568
73023|101|NONE|0|0|0|0|535857
71992|102|All Other Accounts|||||534570
71993|102|All Other Accounts|||||534571
71994|101|N/A|0|0|0|0|534586
71995|102|All Other Accounts|0|0|0|0|534586
71996|102|All Other Accounts|||||534591
71997|102|All Other Accounts||||4647|534592
71998|102|All Other Accounts|||||534594
71999|102|All Other Accounts|||||534603
72001|102|All Other Accounts|0|0|0|25|534608
72002|101|NONE ITEMIZED|0|0|0|0|534609
