OID|DESCRIPTION|AMOUNT|RPT_ID
79897|ACCRUED EXPENSES|3989|530201
79911|Dues Payable|79|530245
79913|ACCRUED PAYROLL|17368|530265
79914|UNEARNED DUES|113074|530265
79915|PAYROLL WITHHOLDINGS NOT REMITTED AT YEAR END |6806|530276
79916|Bond Security Payable|35077|530281
79919|ACCRUED EXPENSES AND PAYABLES|50306|530301
79920|PER CAPITA PAYABLES|80006|530301
79921|PAYROLL TAXES |1928|530301
79922|Per Capita|225|530303
79923|Due ILA|1371|530303
79924|percapita due international|81610|530311
79925|local 11|24|530311
79930|Capital Lease Obligation - current portion|1513|530353
79931|Capital Lease Obligation, net of current portion|3928|530353
79932|ACCRUED PER CAPITA|11555|530365
79933|PAYROLL LIABILITIES|570|530365
79934|Unearned dues|69694|530377
79935|Unearned rent|1475|530377
79936|Accrued pension|742|530377
79937|Accrued and withheld payroll tax|5379|530377
79938|Medical Insurance paid by members|10386|530377
79939|Tempo payable|418|530377
79940|Tenant Secruity deposits|2135|530377
79941|Pension Escrow/reciprocity|369|530377
79942|DUES PAID IN ADVANCE|23801|530378
79943|PAYROLL TAXES DUE|1717|530378
79944|CONVENTION ACCRUAL|505588|530379
79945|UNALLOCATED FUNDS|856662|530379
79946|PAYROLL DEDUCTIONS|120231|530379
79947|PER CAPITA TAXES PAYABLE|1841865|530379
79948|DEFERRED COMPENSATION PAYABLE|463555|530379
79949|FUNDS COLLECTED ON BEHALF OF AFFILIATES, BUT NOT|0|530380
79950|YET DISBURSED BY THE END OF THE REPORTING PERIOD.|216|530380
79952|PAYROLL EXCHANGES|6232|530386
79953|Accrued Salaries & Payroll Taxes|423695|530394
79954|Accrued Compensated Absences|997876|530394
79955|Unearned Revenues|129737|530394
79956|Accrued Pension Costs|6735599|530394
79957|Retiree Health Benefits |11832703|530394
79958|PAYROLL TAXES & WITHHOLDINGS PAYABLE|3556|530397
79962|Payroll Withholdings|17347|530414
79963|Deferred Compensation|108000|530414
79964|Pension Contribution|50000|530414
79965|Payroll withholdings|536|530419
79966|Due to broker|16284|530419
79967|1ST QUARTER '13  FICA & WITHOLDING|4584|530423
79969|PAYROLL LIABILITIES|6459|530426
79978|DUES COLLECTED IN ADVANCE|17594|530430
79979|PAYROLL TAXES WITHHELD|2035|530430
79980|ACCRUED PENSION|353|530430
79981|SUTA, FUTA & WORKERS COMP INSURANCE|220|530430
79982|CMA BENEFIT CLUB|900|530430
79983|CSO BROADCAST RIGHTS RETIREES|46866|530430
79984|PROMO PENSION PAYABLE|2421|530430
79985|SPECIAL FUND RETIREES|5600|530430
79987|Accrued Vacation, Sick Compensation, and Severance|647061|530435
79988|Credit Card Payable|4437|530435
79989|Accrued Expenses|49294|530435
79991|DUE TO BROKER|689908|530446
79992|DEFERRED DUES|112560|530446
79993|ACCRUED SEVERANCE|354752|530446
79994|ACCRUED VACATION|707366|530446
79995|ACCRUED SICK LEAVE|373649|530446
79996|BONDING LIABILITIES|9501937|530446
79997|ACCRUED PENSION OBLIGATION|5927683|530446
79998|ACCRUED POST-RETIREMENT HEALTHCARE|7746667|530446
79999|ACCRUED OPERATING EXPENSES|219501|530446
80000|Payroll Liabilities|14394|530449
80001|Accrued Sick Leave Liability|176974|530449
80002|Accrued Severance Pay|35861|530449
80003|NIGPP Withdrawal Liability|1028277|530449
80004|FUNDS COLLECTED ON BEHALF OF AFFILIATES, BUT NOT|0|530451
80005|YET DISBURSED BY THE END OF THE REPORTING PERIOD.|3194|530451
80006|Due to Affiliates|85036|530452
80007|Payroll Withholding|3046|530452
80008|Other Liabilities|12799|530452
80014|Employer Benefit Liabilities|1378509|530453
80009|Due to branches and states|5767322|530453
80010|Deferred revenue|732530|530453
80011|Post retirement benefits|23049537|530453
80012|Security deposits|177750|530453
80013|Stale dated checks|1452854|530453
80015|Amt Due to Affiliate Funds|1474551|530453
80016|Accrued Payroll Liabilities|15175|530461
80017|Accrued Rent Payable|13659|530461
80018|DEFERRED GAIN|5171|530469
80019|Payroll Liabilities|34509|530472
80020|Accrued Expenses|30827|530472
80021|Security Deposits|268295|530472
80022|Payroll Liabilities|1397122|530473
80023|Deferred Rent|60602|530473
80024|Funds Held In Trust Agency|186668|530473
80025|Funds Held In Trust Client Trust|592733|530473
80026|Funds Held In Trust Foreign Levies|17866459|530473
80027|Funds Held In Trust Member Payment|127065|530473
80028|Funds Held In Trust Residual Claims|651176|530473
80029|Funds Held In Trust Residual Reserves|2152171|530473
80030|Funds Held In Trust Small Residuals|382|530473
80031|Funds Held In Trust Contract Settlements|91285|530473
80032|Funds Held In Trust Undeliverable|1175301|530473
80033|Allowances for Doubtful Account Strike Fund 2007-8|676198|530473
80034|Payroll taxes payable|2719|530477
80035|Employee benefits payable|4347|530477
80036|Payroll taxes payable|11784|530523
80037|PAYROLL WITHHOLDING|3281|530973
80051|Flex benefits payable|5664|531612
80052|Advance dues paid by members|40377|531612
80053|Accrued employee wages|42241|531612
80054|Accrued employee vacation, sick and personal time|197731|531612
80055|Accrued audit fee|52500|531612
80056|Accrued fee for film society|9743|531612
80057|Deferred rent|820553|531612
80058|ACCRUED PAYROLL TAXES|2610|531640
80066|Payroll Taxes |1273|531828
80079|Accrued Retirement Fund|20277016|531925
80080|Due to Other Funds|440277|531925
80081|Deferred Income|6401521|531925
80082|Accrued Rent|29951|531925
80083|Security Deposit Payable|1278653|531925
80088|Payroll Taxes Payable|2472|532002
80109|CREDIT CARD PAYABLE|866|532277
80110|OTHER ACCRUALS|112|532277
80111|RETIREMENT CONTRIBUTION WITHHOLDINGS PAYABLE|1996|532277
80112|INCOME TAX PAYABLE|379|532305
80113|REFUND PAYABLE|360|532305
80114|Payroll withholding|1886|532306
80115|Contract  Negotiation Fund|121166|532307
80116|EMS Defense Fund|16294|532307
80117|Strike Fund|15530|532307
80118|payroll liabilities|8154|532313
80119|ACCRUED SALARIES|5323|532350
80120|ACCRUED PAYROLL TAX|407|532350
80121|IBEW PER CAPITA PAYABLE|4785|532350
80130|PAYROLL WITHHOLDING NOT REMITTED AT 4/30/13|1260|532367
80131|Accrued Payroll|8629|532373
80132|Accrued Vacation|42416|532373
80133|Accrued Payroll Taxes|1150|532373
80134|Other Accrued Liabilities|70822|532373
80135|IA WITHHOLDING PAYABLE|458|532403
80136|NE WITHHOLDING PAYABLE|25|532403
80137|OE 1 TAX PAYABLE|425|532403
80138|COPE PAYABLE|40|532403
80139|ACCRUED EXPENSES|56084|532404
80142|Due to The SSOBA DC Retirement Fund|1077|532413
80143|DEATH BENEFITS PAYABLE|7500|532451
80144|ACCRUED SALARIES|4811|532451
80145|CONTRACTS PAYABLE - MARKET RECOVERY PROGRAM|157490|532451
80147|Deferred Income/Accrued severence|207749|532464
80148|Accrued vacation|5689445|532464
80149|Dues paid in advance|4001697|532464
80150|Deferred Revenue/Tenant allowance|7899159|532464
80151|Funds held in trust due to others|132263183|532464
80152|Lori Jo Dubin memorial|2097|532464
80153|Accrued sick leave|1897891|532464
80154|Accrued negotiations expense|165000|532464
80155|Accrued payroll|779207|532464
80156|Accrued legal and audit|429500|532464
80157|SAG Foundation donation|203099|532464
80158|Film Society expenses|382568|532464
80159|Property taxes|47200|532464
80160|Monitoring audits|179395|532464
80161|Severance|2300000|532464
80162|Accrued Award Show expenses|50000|532464
80163|Employee FSA|70478|532464
80164|SAG Awards Receipts|1090000|532464
80165|Accrued IT expenses|120569|532464
80166|Bank Fees|30500|532464
80167|Accrued operating expenses|27007|532464
80168|NONE|0|532466
80169|PAYROLL WITHHOLDING & EMPLOYER P/R TAXES PAYABLE|5354|532472
80170|PENSION PAYABLE|20187|532473
80173|Payroll taxes withheld and accrued|496|532476
80174|Miscellaneous Exchange|3888|532476
80179|Payroll taxes|30782|532598
80185|Funds due to Local Lodge 199|121403|532631
80187|WITHHELD TAXES AND DUES|586|532650
80192|Payroll withholding|7023|532669
80199|Payroll liabilities|1998|532716
80200|PAYROLL TAXES|545|532756
80214|Payroll Taxes|1193|532907
80215|Due to Divisions and Regions|345551|532923
80216|Accrued Vacation|953880|532923
80217|Division Distributions|519982|532923
80218|Post Retirement Healthcare Liability|7287981|532923
80219|AFT Legal Defense Fund|205050|532923
80220|Accrued Payroll|358632|532923
80221|Accrued Rent Expense|20351|532923
80222|Capital Lease Obligations|97552|532923
80223|Retiree Premium Fund|696854|532923
80224|Health Insurance Reserve|75000|532923
80225|Deferred Revenue|9703|532923
80227|BENEFITS PAYABLE|10042|532942
80228|PAYROLL TAXES |2959|532942
80230|CREDIT CARD PAYABLE-AMEX|213|532984
80231|GARNISHMENT PAYABLE|10000|532984
80232|EMPLOYEES WITHHELD PAYROLL TAXES PAYABLE.|9994|533029
80237|INTERNATIONAL HEADQUARTERS|12495|533039
80238|PAYROLL-RELATED WITHHOLDING AND TAXES|17020|533039
80239|MEMBER  FUNDS|103795|533039
80240|SAVINGS WITHHOLDING DUE|3799|533039
80242|PAYROLL LIABILITIES|133|533081
80244|PAYROLL TAXES PAYABLE|2534|533090
80245|CREDIT CARD PAYABLE|409|533096
80251|NONE|0|533131
80252|EMPLOYEE WITHHOLDINGS|1942|533181
80254|PAYROLL LIABILITIES|284|533261
80255|DUE TO AFFILIATES|4944|533261
80256|ACCRUED AND WITHHELD PAYROLL TAXES|790|533291
80257|Payroll tax liabilities|5053|533302
80258|Credit cards payable|4270|533302
80259|Payable to International Headquarters|13772|533302
80260|Per Capita Taxes owed June 2013|1035|533303
80261|Per Capita Taxes owed July 2013|651|533303
80262|Region 5 Western States CAP June 2013|17|533303
80263|Region 5  Western States CAP July 2013|10|533303
80264|Region 5 Western States PAC June 2013|42|533303
80265|Region 5 Western States PAC July 2013|26|533303
80266|Region 5 CAP June 2013|9|533303
80267|Region 5 CAP July 2013|8|533303
80268|PAYROLL TAX LIABILITIES|2216|533305
80269|Payroll Taxes Withheld|3567|533322
80270|Funds for Transmittal to Affiliates|25981|533322
80271|Unclaimed Property|92|533322
80272|Tenant Security Deposits|850|533322
80281|ACCRUED TAXES AND EXPENSES|2372|533356
80282|Payroll taxes payable|7616|533409
80283|Other payroll deductions payable|314|533409
80286|FUNDS FROM MEMBERS TO BE DISBURSED|1040|533421
80287|PAYROLL WITHHOLDING LIABILITY|5227|533421
80288|ESCROW FUNDS FROM MEMEBERS|74632|533438
80289|PAYROLL LIABILITIES|3779|533438
80290|Accrued EPEC Donations (payroll withholding)|385|533439
80291|Accrued Dues assignments (payroll withholding)|308|533439
80292|Card Services Payable|7675|533439
80294|Payroll and taxes withholding payable|27951|533461
80295|SECURITY DEPOSIT|500|533464
80296|Death Benefit Funds Received From Members|20139|533472
80297|Per Capita Due to Int'l Office|14638|533473
80298|Payroll Taxes|390|533473
80299|Accrued Expenses|52305|533474
80300|Group Insurance Payable|14679|533474
80301|Unapplied Dues|99007|533474
80302|Building Trade Cards|9020|533474
80303|Accured Payroll Taxes|604|533474
80304|Accrued Real Estate Taxes|28637|533474
80305|Payroll Deductions|849|533474
80306|Telephone Vacation Fund|12641|533474
80307|Accrued Health Insurance|1304256|533474
80308|Payable - International H.Q.|12518|533479
80309|Payroll withholding payable|2787|533479
80310|Payroll tax expense payable|192|533479
80311|Accrued expense payable - other|4181|533479
80312|Accrued employee benefits payable|12031|533479
80313|Prepaid dues|11398|533479
80314|Accrued PCT payable|12369|533479
80315|Deathe benefits payable|4400|533479
80316|DEFERRED RENTS|63751|533480
80317|PAYROLL WITHHOLDING|3649|533495
80389|VACATION WITHHOLDING|392|533568
80390|WORK FEES WITHHOLDING|256|533568
80391|CLIC WITHHOLDING|112|533568
80392|Payroll Taxes Withheld|582|533586
80393|Due to International|18159|533586
80394|Due to Industry Associations|2996|533586
80396|Payroll Liabilities|117|533620
80397|PAYROLL WITHHOLDINGS|348|533648
80398|DEPOSITS AND WITHHOLDINGS PAYABLE|2820|533672
80399|ACCRUED EXPENSES|502870|533690
80400|ACCRUED PAYROLL WITHHOLDINGS|8139|533701
80401|DUE TO AFFILIATES|1257|533701
80402|ACCRUED PAYROLL AND PAYROLL TAXES|30837|533709
80403|DUE TO INTERNATIONAL LODGE|20863|533709
80404|DUE TO AFFILIATED LOCALS|6814|533709
80405|PAYROLL TAX WITHHOLDING|13583|533718
80406|ACTIVE BALLOT CLUB WITHHOLDING|69|533718
80407|PENSION WITHHOLDING|898|533718
80408|SUPPLEMENTAL INSURANCE WITHHOLDING|215|533718
80409|CAPITAL LEASE OBLIGATION - SHORT TERM|5374|533718
80410|CAPITAL LEASE OBLIGATION - LONG TERM|9853|533718
80411|Overpayment of Dues|1987|533719
80412|Payroll Withholdings|3192|533731
80413|Due to Pension Fund|75|533731
80414|Due to LMCT|2332|533731
80415|Death Benefit Payable|122349|533733
80416|Payroll Taxes payable|4435|533733
80417|Accrued Per Capita Tax|6076|533747
80418|Accrued Welfare|1693|533747
80419|Accrued Pension Funds|4913|533747
80420|Accrued Payroll Taxes|4238|533747
80421|Accrued Annuity Payable|1600|533747
80422|Accured Child Support|284|533747
80423|JAC Payable|256|533747
80424|PAYROLL TAXES PAYABLE|4191|533768
80425|ACCRUED PAYROLL LIABILITIES|17266|533768
80426|FEDERAL INCOME TAX PAYABLE|2107|533772
80427|DEFERRED RENT|53034|533772
80428|INTERNATIONAL PER CAPITA DUE|12818|533774
80429|PAYROLL WITHHOLDINGS NOT REMITTED @ Y/E|13083|533799
80430|CASH HELD ON BEHALF OF LABORERS LOCAL 61|31542|533799
80431|NONE|0|533811
80432|Accounts Payable|42934|533819
80433|ACCRUED POST-RETIREMENT LIABILITY|191742055|533822
80434|ACCRUED PAYROLL TAXES AND VACATION|3661933|533822
80435|DUE TO AFA|75490|533822
80436|SEVERANCE HELD IN ESCROW|86786|533822
80437|BENEFITS PAYABLE|146292|533822
80438|DUE TO LOCALS|10405692|533822
80439|ACCRUED PENSION LIABILITY|95955458|533822
80440|ACCRUED OPERATING EXPENSES|693633|533822
80441|AMOUNTS HELD FOR STRIKE FUNDS|888707|533824
80442|Work Fee|27080|533826
80443|CLIC Payable|8348|533826
80444|Vacation A Payable|41467|533826
80445|Vacation Time Earned But Not Paid Out|1353000|533826
80446|PAYROLL LIABILITIES|13655|533828
80447|VENDORS TAXES PAYABLE|17384|533828
80448|PLAN MEDICO A PAGAR|6325|533828
80449|OTRAS CUENTAS POR PAGAR|17042|533828
80450|Accrued Payroll Taxes|710|533845
80451|Per Capita Taxes|10280|533845
80452|Employee Benefits Payable|3939|533845
80453|Working Dues Payable|177|533845
80454|Payroll Taxes Withheld|1970|533845
80455|DUE TO LOCAL 1456 MEMBERSHIP RELIEF FUND|420368|533846
80456|Payroll Taxes and Deductions Payable|61294|533850
80457|CREDIT CARD PAYABLE|414|533853
80458|DEATH BENEFITS PAYABLE|2314|533854
80459|PAYROLL LIABILITIES|2338|533854
80460|WITHHELD BENEFITS AND DUES|160|533868
80462|Payroll tax accrual|5425|533917
80463|Due to the IW Real Estate Corp.|2138|533917
80464|PAYROLL TAXES PAYABLE|1471|533928
80465|DUE TO RELATED FUND|2750|533948
80466|WITHHELD PAYROLL TAXES|228|533948
80467|WITHHELD BENEFITS|358|533948
80468|Payroll Taxes|4656|533958
80469|Other Payroll Witholdings|172|533958
80470|PAYROLL WITHHOLDINGS PAYABLE|1357|533975
80471|PAYROLL DEDUCTIONS|589|533979
80474|PAYROLL TAXES|5608|534014
80475|BENEFITS FUNDS PAYABLE|8766|534014
80476|OTHERS|1138|534014
80477|PAYROLL TAXES PAYABLE|634|534042
80478|Payroll Liabilities|1265|534045
80479|N/A|0|534046
80480|VOLUNTARY FUND WITHHOLDING|915|534056
80481|PAYROLL TAXES & WITHHOLDINGS|1607|534056
80482|VACATION FUND WITHHOLDINGS|2418|534056
80483|PENSION FUNDS EXPENSE & WITHHOLDINGS|22858|534056
80484|HEALTH & WELFARE|5769|534056
80485|Payroll liabilities |619|534061
80486|PAYROLL TAXES PAYABLE|272|534066
80487|DEFERRED SAVINGS WITHHELD PAYABLE|1011|534066
80488|ASSESSMENTS WITHHELD PAYABLE|684|534066
80489|MARKET RECOVERY WITHHELD PAYABLE|286|534066
80490|ACCRUED WAGES|5117|534066
80495|Payroll Taxes and Withholding|12295|534085
80496|Accrued Expenses|2245|534089
80497|Accrued expenses|553652|534090
80498|Accrued Taxes and Liabilities|11241|534128
80499|Member Dues received in advance|20324|534128
80500|Deferred rent revenue|468|534128
80501|Accrued per capita|9775|534128
80502|N/A|0|534135
80503| ||534165
80504|FED/FICA|3368|534183
80505|STATE/LOCAL WITHHOLDING|2761|534183
80506|ACCRUED U C TAXES|55|534183
80507|Per Capita Payable|14311|534189
80508|Payroll Taxes Payable|4089|534189
80509|SECURITY DEPOSITS|2000|534200
80510|PAYROLL WITHHOLDINGS|45|534200
80511|DUE TO SUBSIDIARY ORGANIZATION|129170|534200
80512|CREDIT CARD PAYABLE|6826|534200
80513|SYSTEM COMMITTEE DUES AND FEES|140009|534207
80514|ATDA DUES|20033|534207
80515|PAC FUND RECEIPTS|365|534207
80516|OTHER PAYROLL DEDUCTIONS|64|534207
80517|Credit Card Payable - Desert Comm Bank #5762|694|534217
80518|Credit Card Payable - Desert Comm Bank #9843|3205|534217
80519|Employee Union Dues Payable|1013|534217
80521|PAYROLL LIABILITIES|2780|534237
80522|Prepaid rent|658614|534244
80523|Due to Iron Workers #301 Education Fund|7500|534261
80524|Payroll Withholdings and Deductions|2673|534261
80525|Payroll Tax Liability|579|534262
80526|Section 401K Plan |300|534262
80527|MEMBERS LIFE INSURANCE PREMIUMS NOT REMITTED|9241|534280
80528|PAYROLL WITHOLDINGS NOT REMITTED AT Y/E|1184|534280
80529|TAXES, EXCLUDING PAYROLL|15047|534282
80530|UNEXPENDED UA GRANT|4386|534282
80531|PAYROLL TAXES, INCLUDING WITHHOLDINGS|1320|534282
80532|WORKERS COMPENSATION|686|534282
80533|LIFE INSURANCE PREMIUMS PAYABLE|10654|534310
80539|Accrued and withheld Payroll Taxes|1285|534315
80540|Payroll Taxes|6733|534316
80541|LIFE INSURANCE PREMIUMS COLLECTED TO BE REMITTED|14258|534318
80542|PAYROLL TAXES & WITHHOLDINGS|3344|534320
80543|Due to Local 451 Annuity Fund|1241|534323
80544|Due to Local 451 Apprentice Fund|9887|534323
80545|A/P - International|9413|534323
80546|Per Capita Tax Payable|6199|534324
80547|DUE TO LOCAL UNIONS|243761|534352
80548|None|0|534378
80549|Payroll Taxes Payable|3939|534385
80550|Furlough Pilot Loan Fund|1945672|534387
80551|Other Accrued Liabilities|1202944|534387
80552|Accrued Vacation|491113|534387
80553|Post Retirement Benefits Payable|287846|534387
80554|Retirement Plan Payable|261175|534387
80555|Holding Company Payables|132309|534387
80556|Dues Refund Payable|61840|534387
80557|Medical Insurance Payable|56500|534387
80558|Deferred Revenue Exhibitors|37600|534387
80559|Deferred Rent|26537|534387
80560|Due to Affiliates|8811|534391
80561|Payroll Liabilities|76|534391
80562|WV Unemployment|10|534391
80563|Dues Withheld|263|534391
80564|PAC Deductions|7|534391
80565|Assessments|1001|534391
80566|City User Fee|156|534391
80567|Federal Unemployment Accrued|7|534391
80568|Appr. Scholarship Org Fund|131|534391
80569|Vacation Withheld|1883|534391
80570|PAYROLL WITHHOLDINGS NOT REMITTED AT YEAR END|670|534392
80571|Vacation Fund Payable|3376|534393
80572|Payroll Taxes|1580|534395
80573|Payroll taxes and deductions|4547|534396
80574|Payroll Taxes/withholdings|928|534398
80575|Iron Workers Pension Plan and Benefits|5831|534398
80576|Members' over / under|679|534398
80577|Payroll Tax Withholdings|2940|534404
80578|PAYROLL LIABILITIES|1562|534437
80579|ACCRUED PROPERTY TAX|4970|534437
80580|ACCRUED VACATION|6696|534437
80581|PAYROLL TAXES PAYABLE|5405|534441
80582|ASSESSMENTS AND DUES PAYABLE|10680|534441
80583|BENEFITS PAYABLE|2437|534441
80584|PAYROLL WITHHOLDING, SCHOLARSHIP AND THANKSGIVING |790|534450
80585|Payroll liabilites|56|534451
80586|Fringe benefits liabilities|9252|534451
80587|Member's charge deposits|450|534451
80588|Per capita collected|22340|534455
80589|401(k) employee withheld|4405|534455
80590|Credit cards payable|2753|534455
80591|Payroll Withholdings|1746|534460
80592|NONE|0|534462
80593|PAYROLL TAXES PAYABLE|3077|534465
80594|Accrued expenses|144609|534480
80595|Death Benefit payable|22407|534480
80596|Electrical Industry Advancement  Fund|1406493|534480
80597|Payroll Liability of Accured Sick Leave|9451|534481
80598|Payrol Liability payroll taxes|2783|534481
80599|DEFERRED REVENUE|380|534490
80600|DEATH BENEFITS|576|534490
80601|BA DUES|766|534490
80602|BA WORKING DUES|3289|534490
80603|A DUES|4685|534490
80604|A WORKING DUES|378|534490
80605|PAYROLL TAXES WITHHELD|4149|534494
80606|DEFERRED COMPENSATION RABBI TRUST LIABILITY|101358|534497
80607|PAYROLL TAXES & OTHER WITHHOLDING|2960|534497
80608|TENANT SECURITY DEPOSIT|11481|534497
80609|Payroll Withholdings|25192|534501
80610|PAYROLL WITHHOLDINGS PAYABLE|8279|534534
80611|ACCRUED EXPENSES|17298|534561
80612|Payroll Liabilities|1664|534563
80613|LIFE INSURANCE PREMIUMS NOT YET REMITTED @ Y/E|6552|534565
80614|LIFE INSURANCE PREMIUMS RECD NOT REMITTED AT Y/E|8527|534567
80615|LIFE INSURANCE PREMIUMS NOT YET REMITTED AT YR END|7181|534568
80616|TARGET JOB GRANTS|97605|534570
80617|PAYROLL EXCHANGES PAYABLE|5289|534571
80618|Payroll Taxes Payable|1380|534576
80619|PAYROLL TAX WITHHOLDINGS|3903|534586
80620|DEATH BENEFITS PAYABLE|2200|534586
80621|Payroll Liabilities|128|534591
80622|Payroll Liabilities|182|534592
80623|C.O.P.E. Liabilities|72|534592
80624|Payroll withholdings payable|6701|534594
80625|Payroll withholdings|2247|534598
80626|Member overpayments|1663|534598
80627|Accrued Payroll Taxes|474|534602
80628|Due to International Affiliate|10370|534602
80629|Deferred income|44371|534608
80630|Accrued salaries|12338|534608
80631|Payroll taxes, etc.|595|534608
80632|PAYROLL LIABILITIES|4088|534609
80633|CONSTRUCTION DIVISION FIELD DUES SUPPLEMENTAL|0|534609
80634|    COLLECTED AND PAYABLE|125419|534609
80635|Payroll liabilities|5054|534612
80636|N/A|0|534613
80637|Nord Settlement Funds|8526|534614
80638|UBC Dues Payable June 2013|229241|534614
80639|PAYROLL LIABILITIES|504|534618
80640|ACCRUED VACATION AND SICK LEAVE|3941|534618
80642|PAYROLL WITHHOLDINGS|1697|534625
80643|PER CAPITA TAX PAYABLE|25903|534637
80644|PAYROLL TAXES WITHHOLD AND ACCRUED|3677|534637
80645|CREDIT UNION WITHHOLDING|4312|534637
80646|Sales Tax Payable|312|534641
80647|Payroll Withholdings|927|534641
80648|UNEARED INCOME|30902|534646
80649|ACCRUED EXPENSES AND PAYROLL WITHHOLDINGS|2099|534646
80650|FUNDS HELD FOR COUNCILS|3685|534657
80651|Payroll Taxes Payable|5507|534659
80652|PAYROLL WITHHOLDINGS|19|534660
80653|PAYROLL TAXES PAYABLE|2580|534662
80654|(The information on this page is for disclosure|0|534662
80655|purposes only.  It was not subjected to audit.)|0|534662
80656|N/A|0|534673
80660|UNSETTLED INVESTMENT PURCHASES|1345163|534682
80657|PAYROLL WITHHOLDINGS AND EXCHANGE|34570|534682
80658|DUE TO MEMBER BENEFICIARIES|20260|534682
80659|INCOME RECEIVED IN ADVANCE|19481|534682
80661|Tenent Security Deposits|7800|534683
80662|DUES COLLECTED IN ADVANCE|34541|534684
80663|PAYROLL TAX WITHHOLDINGS|116|534684
80664|PAYROLL WITHOLDINGS|114|534685
80665|UNEARNED DUES AND ASSESSMENTS|30069|534685
80666|FUNDED STATUS OF PENSION FUND|45376|534685
80667|Michigan Withholding|333|534687
80668|Michigan Unemployment Insurance Agency|269|534687
80669|Federal Unemployment|107|534687
80670|Michigan Rural Letter Carriers - Union Dues|1066|534687
80671|National Rural Letter Carriers - Union Dues|584|534687
80672|Retirement Benefits|445|534687
80673|N/A|0|534690
80674|PAYROLL LIABILITIES|12617|534691
80675|TARGETED JOBS AWARDS|159264|534691
80676|VACATION ACCRUAL|57681|534691
80677|Payroll Liabilities|1129|534696
80678|Contractor Overpayments|902|534696
80679|Benefits Payable|11507|534698
80680|A/P - International|19957|534698
80681|Accrued Payroll Taxes|26|534698
80682|N/A|0|534701
80685|PAYROLL TAX WITHHOLDINGS|1694|534705
80686|DUE TO AFFILIATES|19598|534705
80687|LIFE INSURANCE PREMIUM PAYABLE|9735|534706
80688|PAYROLL TAX WITHHOLDING |623|534706
80689|Payroll Taxes Payable|5509|534707
80690|PAYROLL TAXES WITHHELD|6400|534714
80691|VACATION AND WORK ASSESSMENTS WITHHELD|2010|534714
80692|Payroll liabilities|2088|534720
80693|Payroll Tax Withholdings|2813|534721
80694|Accrued Payroll Taxes|4326|534733
80695|Due to Affiliates|71079|534741
80696|Payroll Liabilities|40715|534741
80697|Deferred Income|474|534741
80698|Payroll taxes payable|3566|534748
80699|Payroll Tax Liability|3718|534751
80700|PAYROLL WITHHOLDINGS|27267|534753
80701|DUES RECEIVED IN ADVANCE|112150|534753
80702|DUE TO VOLUNTARY FUND|24920|534753
80703|IBEW COPE|24|534756
80704|I O Per Capita|12166|534756
80705|Prepaid Dues|28638|534756
80706|Refundable Security Deposit|1450|534757
80707|PAYROLL TAXES PAYABLE|3421|534760
80708|CREDIT CARD PAYABLE|1360|534760
80709|DUE TO RELATED ORGANIZATIONS|6262|534761
80710|MISCELLANEOUS EMPLOYEE PAYROLL WITHHOLDINGS|756|534768
80711|N/A|0|534769
80712|Amounts due employers-Target Fund|121414|534777
